scenario_id,period,period_start,period_end,strategy_count,extra_slippage_bps,cagr,sharpe,max_drawdown,total_return,monthly_hit_rate,worst_month,avg_daily_turnover,avg_unique_positions,latest_unique_positions,avg_effective_positions,baseline_return_corr,baseline_all_period_jaccard,baseline_latest_jaccard,baseline_position_phi_corr,comparison_baseline_scenario_id,delta_cagr,delta_sharpe,delta_max_drawdown,delta_total_return,delta_avg_daily_turnover,delta_avg_unique_positions,delta_avg_effective_positions
Baseline_current_active11,full_2023_2026,2023-01-01,2026-06-15,11,100.0,-0.17969674995434226,-1.1000645223934853,-0.6023035794517007,-0.47921097857372397,0.30952380952380953,-0.10278622876914423,0.13955261813276532,536.910843373494,578,289.3648806636879,0.9620382116343466,0.6110694485068539,0.6105442176870748,0.6670352175621715,Candidate11_noBroker,-0.35665443787564266,-2.0173085236042363,-0.31596905116365626,-1.1894685824702074,0.07298574162841676,191.2060240963856,29.291202296573317
Candidate12_keep_BrokerReclaim,full_2023_2026,2023-01-01,2026-06-15,12,100.0,0.043052559293739856,0.3153425305372035,-0.37405874422474283,0.14893168684797065,0.47619047619047616,-0.11811403135461207,0.09439162057293317,378.3602409638554,406,147.34597585621958,0.9991449696014221,0.9136922484150057,0.9088669950738916,0.9375122096328105,Candidate11_noBroker,-0.13390512862756054,-0.6019014706735473,-0.08772421593669844,-0.5613259170485128,0.02782474406858461,32.65542168674699,-112.72770251089503
Candidate11_noBroker,full_2023_2026,2023-01-01,2026-06-15,11,100.0,0.1769576879213004,0.9172440012107508,-0.2863345282880444,0.7102576038964834,0.5238095238095238,-0.11282204776805738,0.06656687650434856,345.7048192771084,369,260.0736783671146,1.0,1.0,1.0,0.9999999999999999,Candidate11_noBroker,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FinalActive12_retire_trio_Broker_S11_add_fused_0248_0109_0166_0283_0009,full_2023_2026,2023-01-01,2026-06-15,12,100.0,0.272284991023763,1.3124897465010787,-0.2905998316790255,1.2103675944641026,0.5714285714285714,-0.12068011706248938,0.05143960193817764,352.06746987951806,375,292.55873079831315,0.9817632511257728,0.9769889331139527,0.9787234042553191,0.9836932845654356,Candidate11_noBroker,0.09532730310246262,0.39524574529032797,-0.004265303390981079,0.5001099905676192,-0.015127274566170919,6.362650602409644,32.48505243119854
Candidate11_noBroker_replace_S04_S11_defensive_with_0285_0283_0009,full_2023_2026,2023-01-01,2026-06-15,11,100.0,0.4578618170069646,1.8657228129699759,-0.23940239559462217,2.4611826963498427,0.7142857142857143,-0.1052839511281567,0.02441219423147134,57.20120481927711,58,69.54125666531698,0.9647044282310795,0.137405488872941,0.1356382978723404,0.2783104373280788,Candidate11_noBroker,0.2809041290856642,0.9484788117592251,0.046932132693422224,1.7509250924533593,-0.04215468227287722,-288.5036144578313,-190.53242170179763
Baseline_current_active11,train_2023_2024,2023-01-01,2024-12-31,11,0.0,0.1709101782755944,1.0796384320394585,-0.17162433577275027,0.35142835230558234,0.5833333333333334,-0.044125256325408646,0.14477483641187724,526.3534303534303,415,103.59363669702013,0.9638063663366165,0.6368925128808157,0.42691415313225056,0.6905269006096733,Candidate11_noBroker,-0.13730577456026838,-0.5365446713058086,-0.005701038651899193,-0.31854510115812973,0.07127410276253665,172.9230769230769,-263.07835556526436
Candidate12_keep_BrokerReclaim,train_2023_2024,2023-01-01,2024-12-31,12,0.0,0.2509877898344015,1.4015912841365332,-0.1652982050186641,0.5333096512372022,0.625,-0.050664482354561335,0.10091646772858075,383.4989604989605,241,160.00897670121546,0.9993725740810419,0.9215940324075831,0.8298755186721992,0.9428757247364619,Candidate11_noBroker,-0.057228163001461274,-0.21459181920873394,0.0006250921021869749,-0.13666380222650987,0.027415734079240153,30.068607068607093,-206.66301556106905
Candidate11_noBroker,train_2023_2024,2023-01-01,2024-12-31,11,0.0,0.3082159528358628,1.6161831033452672,-0.16592329712085108,0.6699734534637121,0.6666666666666666,-0.05011503453453636,0.0735007336493406,353.4303534303534,200,366.6719922622845,1.0,1.0,1.0,0.9999999999999999,Candidate11_noBroker,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FinalActive12_retire_trio_Broker_S11_add_fused_0248_0109_0166_0283_0009,train_2023_2024,2023-01-01,2024-12-31,12,0.0,0.3182863540679819,1.7593243572532542,-0.15937822609070107,0.6945962529543577,0.75,-0.045193749308139575,0.05487676361368339,358.85446985446987,209,437.42640039427073,0.978436011491123,0.9792547660311959,0.9569377990430622,0.9851739449211213,Candidate11_noBroker,0.010070401232119108,0.14314125390798704,0.006545071030150007,0.024622799490645608,-0.018623970035657203,5.424116424116448,70.75440813198622
Candidate11_noBroker_replace_S04_S11_defensive_with_0285_0283_0009,train_2023_2024,2023-01-01,2024-12-31,11,0.0,0.3750629248490607,1.9178720873034814,-0.15457931882321407,0.8366248911925047,0.75,-0.052839047382893245,0.027996702996702996,58.94178794178794,57,71.02614606259719,0.9568597282035328,0.1415622086398011,0.21800947867298578,0.28599661334432075,Candidate11_noBroker,0.06684697201319789,0.3016889839582142,0.011343978297637003,0.16665143772879265,-0.0455040306526376,-294.4885654885655,-295.6458461996873
