period,start_date,end_date,group,status,name,family_id,alpha_bucket,strategy_id,proxy_cagr,proxy_sharpe,proxy_MOD,proxy_total_return,proxy_worst_month,proxy_monthly_hit_rate,active_days,avg_positions,max_positions,latest_positions,avg_turnover,reason
2026,2026-01-01,2026-06-15,candidate_stock_tech12,candidate,S9 three soldiers base breakout,VOLATILITY_CONTRACTION_BREAKOUT,breakout_vol_expansion,stock_tech_s09_three_soldiers_base_breakout_v1,-0.05596789921866041,-0.6865109075070155,-0.041953680654338465,-0.023935407413080645,-0.023935407413080645,0.0,9.0,0.08490566037735849,1.0,0.0,0.018867924528301886,
2026,2026-01-01,2026-06-15,candidate_stock_tech12,candidate,S10 island reversal,VOLATILITY_CONTRACTION_BREAKOUT,mean_reversion,stock_tech_s10_island_reversal_v1,0.07946838004732792,1.0188081454972269,-0.029291803675048467,0.032688294547881025,0.0,0.16666666666666666,6.0,0.0660377358490566,2.0,0.0,0.02358490566037736,
2026,2026-01-01,2026-06-15,candidate_stock_tech12,candidate,S11 gap breakout continuation,VOLATILITY_CONTRACTION_BREAKOUT,breakout_vol_expansion,stock_tech_s11_gap_breakout_continuation_v1,2.8230997063197423,3.189488858524422,-0.16306505022762774,0.7578602675620223,-0.1120135691065941,0.8333333333333334,106.0,7.867924528301887,10.0,4.0,0.1678459119496855,
2026,2026-01-01,2026-06-15,active_strategy_spec,active,Pymoo NSGA-III novelty 0081 breadth trend impulse,TREND_RECLAIM_CONTINUATION,trend_following,alpha_miner_pymoo_nsga3_novelty_0081,-0.2843386380665297,-1.5634366323965276,-0.15869287650851538,-0.13126977766868797,-0.10791314315645084,0.3333333333333333,106.0,383.60377358490564,527.0,341.0,0.6949758283867267,
2026,2026-01-01,2026-06-15,active_strategy_spec,active,Pymoo NSGA-III novelty 0187 revenue short trend,REVENUE_QUALITY_MOMENTUM,trend_following,alpha_miner_pymoo_nsga3_novelty_0187,-0.3479059740283983,-2.025267678871701,-0.1889850537700266,-0.16460399365146905,-0.10628214030316596,0.16666666666666666,106.0,308.85849056603774,364.0,302.0,0.6936135119480884,
2026,2026-01-01,2026-06-15,active_strategy_spec,active,Pymoo NSGA-III novelty 0193 sentiment margin flow,SMART_MONEY_ACCUMULATION,defensive_accumulation,alpha_miner_pymoo_nsga3_novelty_0193,0.8972423629283763,2.5754518013047445,-0.08277165401231867,0.30914625439535603,-0.060089004659724554,0.8333333333333334,106.0,564.6981132075472,618.0,539.0,0.040723570994350304,
2026,2026-01-01,2026-06-15,active_strategy_spec,active,AlphaBuilders multifactor revenue quality momentum,REVENUE_QUALITY_MOMENTUM,trend_following,alphabuilders_multifactor_revenue_quality_momentum_v1,0.6493837625589769,2.630302910054503,-0.0647680094650247,0.23427832441082574,-0.05477348314820796,0.8333333333333334,106.0,762.2830188679245,1050.0,780.0,0.11987297605575653,
2026,2026-01-01,2026-06-15,active_strategy_spec,active,Breakout volume expansion seed,VOLATILITY_CONTRACTION_BREAKOUT,breakout_vol_expansion,breakout_vol_expansion_seed_v1,0.634317040850332,2.209937532832586,-0.09729404664592367,0.22952312507806494,-0.055472123368329296,0.6666666666666666,106.0,278.6792452830189,546.0,243.0,0.26276743862153584,
2026,2026-01-01,2026-06-15,active_strategy_spec,active,Defensive accumulation seed,SMART_MONEY_ACCUMULATION,defensive_accumulation,defensive_accumulation_seed_v1,0.48768191840147934,2.2429733013201187,-0.07949844250642124,0.18185382666570815,-0.05137042924307722,0.8333333333333334,106.0,630.6132075471698,1010.0,512.0,0.2702484466350586,
2026,2026-01-01,2026-06-15,active_strategy_spec,active,FinLab AI broker accumulation reclaim,SMART_MONEY_ACCUMULATION,defensive_accumulation,finlab_ai_skill_broker_accumulation_reclaim_v1,0.06932845213071492,0.4664349361128456,-0.10965969339800175,0.028596766373551352,-0.08497489020450133,0.5,106.0,277.5377358490566,470.0,215.0,0.4163501244044651,
2026,2026-01-01,2026-06-15,active_strategy_spec,active,FinLab AI quality trend,REVENUE_QUALITY_MOMENTUM,trend_following,finlab_ai_skill_quality_trend_v1,0.5589937047046429,2.2745282091606223,-0.06617470653476853,0.2053608254938526,-0.06617470653476787,0.6666666666666666,106.0,130.67924528301887,211.0,137.0,0.23774814845267092,
2026,2026-01-01,2026-06-15,active_strategy_spec,active,FinLab AI revenue revision breakout,REVENUE_QUALITY_MOMENTUM,breakout_vol_expansion,finlab_ai_skill_revenue_revision_breakout_v1,0.4795262189962446,1.4223900285324342,-0.08603100107483275,0.17912414904180451,-0.05409300861067323,0.5,106.0,21.28301886792453,49.0,23.0,0.41741817226041167,
2026,2026-01-01,2026-06-15,active_strategy_spec,active,FinLab AI reversion value,REVENUE_QUALITY_MOMENTUM,mean_reversion,finlab_ai_skill_reversion_value_v1,0.03649312780786462,0.34000379025642885,-0.07291625181962247,0.015191055703979606,-0.06168492149558247,0.8333333333333334,106.0,460.4433962264151,646.0,312.0,0.141181530077767,
2026,2026-01-01,2026-06-15,active_strategy_spec,active,Trend following seed,TREND_RECLAIM_CONTINUATION,trend_following,trend_following_seed_v1,0.6992700403848018,2.5155056002416174,-0.06717430940157532,0.24984571774539233,-0.0597273935158803,0.6666666666666666,106.0,467.62264150943395,812.0,483.0,0.2283212690887177,
daily_proxy_unsupported,2020-01-01,2026-06-15,candidate_stock_tech12,candidate,S12 multi-timeframe SMC reclaim,SMC_STRUCTURE_RECLAIM,breakout_vol_expansion,stock_tech_s12_multitimeframe_smc_reclaim_v1,,,,,,,,,,,,requires_intraday_15m_1h_4h_replay
