strategy_id,path,before,after
stock_tech_s05_first_dry_pullback_v1,evidence_profile.metric_evidence,"[{""metric"":""residual_return_lcb90"",""value"":null,""status"":""not_available"",""sample_count"":0,""mature_dates"":0,""outcome_as_of_date"":""2026-09-01"",""definition_version"":""strategy-evidence-metrics-v4"",""evidence"":{""semantic"":""date_clustered_equal_weight_residual_return_lcb90"",""z90"":1.281551565545,""missing_reason"":""no_strategy_hits_in_observation_window"",""root_cause_class"":""strategy_coverage"",""remediation"":""shadow_coverage_diagnostics_before_threshold_change"",""observation_window_end"":""2026-09-01"",""production_effect"":false,""materialization_source"":""learning_target_join""}},{""metric"":""rank_ic"",""value"":null,""status"":""not_available"",""sample_count"":0,""mature_dates"":0,""outcome_as_of_date"":""2026-09-01"",""definition_version"":""strategy-evidence-metrics-v4"",""evidence"":{""semantic"":""mean_daily_spearman_formal_continuous_affinity_vs_residual_return"",""affinity_owner"":""strategy-threshold-margin-affinity-v2"",""fallback_owner"":null,""retired_input"":""strategy-affinity-binary-pit-reconstruction-v1"",""formal_continuous_pairs"":0,""excluded_legacy_binary_pairs"":0,""observation_dates"":0,""estimable_dates"":0,""pair_eligible_dates"":0,""insufficient_pair_dates"":0,""constant_affinity_dates"":0,""constant_reward_dates"":0,""missing_reason"":""no_strategy_hits_in_observation_window"",""root_cause_class"":""strategy_coverage"",""remediation"":""shadow_coverage_diagnostics_before_threshold_change"",""observation_window_end"":""2026-09-01"",""production_effect"":false,""materialization_source"":""learning_target_join""}},{""metric"":""max_drawdown"",""value"":null,""status"":""not_available"",""sample_count"":0,""mature_dates"":0,""outcome_as_of_date"":""2026-09-01"",""definition_version"":""strategy-evidence-metrics-v4"",""evidence"":{""semantic"":""date_clustered_equal_weight_compounded_cost_net_absolute_return"",""missing_reason"":""no_strategy_hits_in_observation_window"",""root_cause_class"":""strategy_coverage"",""remediation"":""shadow_coverage_diagnostics_before_threshold_change"",""observation_window_end"":""2026-09-01"",""production_effect"":false,""materialization_source"":""learning_target_join""}},{""metric"":""turnover_after_cost"",""value"":null,""status"":""not_available"",""sample_count"":0,""mature_dates"":0,""outcome_as_of_date"":""2026-09-01"",""definition_version"":""strategy-evidence-metrics-v4"",""evidence"":{""semantic"":""cost_net_mean_return_per_one_way_turnover"",""average_one_way_turnover"":null,""missing_reason"":""no_strategy_hits_in_observation_window"",""root_cause_class"":""strategy_coverage"",""remediation"":""shadow_coverage_diagnostics_before_threshold_change"",""observation_window_end"":""2026-09-01"",""production_effect"":false,""materialization_source"":""learning_target_join""}},{""metric"":""regime_consistency"",""value"":null,""status"":""not_available"",""sample_count"":0,""mature_dates"":0,""outcome_as_of_date"":""2026-09-01"",""definition_version"":""strategy-evidence-metrics-v4"",""evidence"":{""semantic"":""minimum_supported_regime_date_clustered_residual_return_lcb90"",""required_regime_partitions"":2,""required_mature_dates_per_partition"":2,""supported_regimes"":[""bull"",""sideways""],""observed_partitions"":[],""eligible_partitions"":[],""observed_regime_count"":0,""eligible_regime_count"":0,""missing_reason"":""no_strategy_hits_in_observation_window"",""root_cause_class"":""strategy_coverage"",""remediation"":""shadow_coverage_diagnostics_before_threshold_change"",""observation_window_end"":""2026-09-01"",""production_effect"":false,""materialization_source"":""learning_target_join""}}]","[{""metric"":""residual_return_lcb90"",""value"":null,""status"":""not_available"",""sample_count"":0,""mature_dates"":0,""outcome_as_of_date"":""2026-09-02"",""definition_version"":""strategy-evidence-metrics-v4"",""evidence"":{""semantic"":""date_clustered_equal_weight_residual_return_lcb90"",""z90"":1.281551565545,""missing_reason"":""no_strategy_hits_in_observation_window"",""root_cause_class"":""strategy_coverage"",""remediation"":""shadow_coverage_diagnostics_before_threshold_change"",""observation_window_end"":""2026-09-02"",""production_effect"":false,""materialization_source"":""learning_target_join""}},{""metric"":""rank_ic"",""value"":null,""status"":""not_available"",""sample_count"":0,""mature_dates"":0,""outcome_as_of_date"":""2026-09-02"",""definition_version"":""strategy-evidence-metrics-v4"",""evidence"":{""semantic"":""mean_daily_spearman_formal_continuous_affinity_vs_residual_return"",""affinity_owner"":""strategy-threshold-margin-affinity-v2"",""fallback_owner"":null,""retired_input"":""strategy-affinity-binary-pit-reconstruction-v1"",""formal_continuous_pairs"":0,""excluded_legacy_binary_pairs"":0,""observation_dates"":0,""estimable_dates"":0,""pair_eligible_dates"":0,""insufficient_pair_dates"":0,""constant_affinity_dates"":0,""constant_reward_dates"":0,""missing_reason"":""no_strategy_hits_in_observation_window"",""root_cause_class"":""strategy_coverage"",""remediation"":""shadow_coverage_diagnostics_before_threshold_change"",""observation_window_end"":""2026-09-02"",""production_effect"":false,""materialization_source"":""learning_target_join""}},{""metric"":""max_drawdown"",""value"":null,""status"":""not_available"",""sample_count"":0,""mature_dates"":0,""outcome_as_of_date"":""2026-09-02"",""definition_version"":""strategy-evidence-metrics-v4"",""evidence"":{""semantic"":""date_clustered_equal_weight_compounded_cost_net_absolute_return"",""missing_reason"":""no_strategy_hits_in_observation_window"",""root_cause_class"":""strategy_coverage"",""remediation"":""shadow_coverage_diagnostics_before_threshold_change"",""observation_window_end"":""2026-09-02"",""production_effect"":false,""materialization_source"":""learning_target_join""}},{""metric"":""turnover_after_cost"",""value"":null,""status"":""not_available"",""sample_count"":0,""mature_dates"":0,""outcome_as_of_date"":""2026-09-02"",""definition_version"":""strategy-evidence-metrics-v4"",""evidence"":{""semantic"":""cost_net_mean_return_per_one_way_turnover"",""average_one_way_turnover"":null,""missing_reason"":""no_strategy_hits_in_observation_window"",""root_cause_class"":""strategy_coverage"",""remediation"":""shadow_coverage_diagnostics_before_threshold_change"",""observation_window_end"":""2026-09-02"",""production_effect"":false,""materialization_source"":""learning_target_join""}},{""metric"":""regime_consistency"",""value"":null,""status"":""not_available"",""sample_count"":0,""mature_dates"":0,""outcome_as_of_date"":""2026-09-02"",""definition_version"":""strategy-evidence-metrics-v4"",""evidence"":{""semantic"":""minimum_supported_regime_date_clustered_residual_return_lcb90"",""required_regime_partitions"":2,""required_mature_dates_per_partition"":2,""supported_regimes"":[""bull"",""sideways""],""observed_partitions"":[],""eligible_partitions"":[],""observed_regime_count"":0,""eligible_regime_count"":0,""missing_reason"":""no_strategy_hits_in_observation_window"",""root_cause_class"":""strategy_coverage"",""remediation"":""shadow_coverage_diagnostics_before_threshold_change"",""observation_window_end"":""2026-09-02"",""production_effect"":false,""materialization_source"":""learning_target_join""}}]"
stock_tech_s06_nr7_inside_bar_breakout_v1,evidence_profile.metric_evidence,"[{""metric"":""residual_return_lcb90"",""value"":-0.033902,""status"":""ready"",""sample_count"":40,""mature_dates"":6,""outcome_as_of_date"":""2026-09-01"",""definition_version"":""strategy-evidence-metrics-v4"",""evidence"":{""semantic"":""date_clustered_equal_weight_residual_return_lcb90"",""z90"":1.281551565545,""production_effect"":false,""materialization_source"":""learning_target_join""}},{""metric"":""false_breakout_rate"",""value"":0.55,""status"":""ready"",""sample_count"":40,""mature_dates"":6,""outcome_as_of_date"":""2026-09-01"",""definition_version"":""strategy-evidence-metrics-v4"",""evidence"":{""semantic"":""primary_horizon_cost_net_return_non_positive_rate"",""production_effect"":false,""materialization_source"":""learning_target_join""}},{""metric"":""tail_loss_cvar95"",""value"":-0.341059,""status"":""ready"",""sample_count"":40,""mature_dates"":6,""outcome_as_of_date"":""2026-09-01"",""definition_version"":""strategy-evidence-metrics-v4"",""evidence"":{""semantic"":""mean_worst_five_percent_cost_net_absolute_return"",""tail_samples"":2,""production_effect"":false,""materialization_source"":""learning_target_join""}},{""metric"":""turnover_after_cost"",""value"":-0.055082,""status"":""ready"",""sample_count"":40,""mature_dates"":6,""outcome_as_of_date"":""2026-09-01"",""definition_version"":""strategy-evidence-metrics-v4"",""evidence"":{""semantic"":""cost_net_mean_return_per_one_way_turnover"",""average_one_way_turnover"":0.872857,""production_effect"":false,""materialization_source"":""learning_target_join""}},{""metric"":""regime_consistency"",""value"":null,""status"":""not_available"",""sample_count"":24,""mature_dates"":0,""outcome_as_of_date"":""2026-09-01"",""definition_version"":""strategy-evidence-metrics-v4"",""evidence"":{""semantic"":""minimum_supported_regime_date_clustered_residual_return_lcb90"",""required_regime_partitions"":2,""required_mature_dates_per_partition"":2,""supported_regimes"":[""bull"",""volatile""],""observed_partitions"":[{""regime"":""bull"",""samples"":19,""dates"":3,""lcb90"":-0.019971},{""regime"":""volatile"",""samples"":5,""dates"":1,""lcb90"":null}],""eligible_partitions"":[{""regime"":""bull"",""samples"":19,""dates"":3,""lcb90"":-0.019971}],""observed_regime_count"":2,""eligible_regime_count"":1,""missing_reason"":""fewer_than_two_supported_regimes_with_two_mature_dates"",""production_effect"":false,""materialization_source"":""learning_target_join""}}]","[{""metric"":""residual_return_lcb90"",""value"":-0.033902,""status"":""ready"",""sample_count"":40,""mature_dates"":6,""outcome_as_of_date"":""2026-09-02"",""definition_version"":""strategy-evidence-metrics-v4"",""evidence"":{""semantic"":""date_clustered_equal_weight_residual_return_lcb90"",""z90"":1.281551565545,""production_effect"":false,""materialization_source"":""learning_target_join""}},{""metric"":""false_breakout_rate"",""value"":0.55,""status"":""ready"",""sample_count"":40,""mature_dates"":6,""outcome_as_of_date"":""2026-09-02"",""definition_version"":""strategy-evidence-metrics-v4"",""evidence"":{""semantic"":""primary_horizon_cost_net_return_non_positive_rate"",""production_effect"":false,""materialization_source"":""learning_target_join""}},{""metric"":""tail_loss_cvar95"",""value"":-0.341059,""status"":""ready"",""sample_count"":40,""mature_dates"":6,""outcome_as_of_date"":""2026-09-02"",""definition_version"":""strategy-evidence-metrics-v4"",""evidence"":{""semantic"":""mean_worst_five_percent_cost_net_absolute_return"",""tail_samples"":2,""production_effect"":false,""materialization_source"":""learning_target_join""}},{""metric"":""turnover_after_cost"",""value"":-0.055082,""status"":""ready"",""sample_count"":40,""mature_dates"":6,""outcome_as_of_date"":""2026-09-02"",""definition_version"":""strategy-evidence-metrics-v4"",""evidence"":{""semantic"":""cost_net_mean_return_per_one_way_turnover"",""average_one_way_turnover"":0.872857,""production_effect"":false,""materialization_source"":""learning_target_join""}},{""metric"":""regime_consistency"",""value"":null,""status"":""not_available"",""sample_count"":24,""mature_dates"":0,""outcome_as_of_date"":""2026-09-02"",""definition_version"":""strategy-evidence-metrics-v4"",""evidence"":{""semantic"":""minimum_supported_regime_date_clustered_residual_return_lcb90"",""required_regime_partitions"":2,""required_mature_dates_per_partition"":2,""supported_regimes"":[""bull"",""volatile""],""observed_partitions"":[{""regime"":""bull"",""samples"":19,""dates"":3,""lcb90"":-0.019971},{""regime"":""volatile"",""samples"":5,""dates"":1,""lcb90"":null}],""eligible_partitions"":[{""regime"":""bull"",""samples"":19,""dates"":3,""lcb90"":-0.019971}],""observed_regime_count"":2,""eligible_regime_count"":1,""missing_reason"":""fewer_than_two_supported_regimes_with_two_mature_dates"",""production_effect"":false,""materialization_source"":""learning_target_join""}}]"
stock_tech_s06_nr7_inside_bar_breakout_v1,learning.avg_return_pct,-0.014108,-0.013153
stock_tech_s06_nr7_inside_bar_breakout_v1,learning.hit_rate,0.428571,0.416667
stock_tech_s06_nr7_inside_bar_breakout_v1,learning.latest_reward_date,2026-08-13,2026-08-18
stock_tech_s06_nr7_inside_bar_breakout_v1,learning.reward_status_reason,reward evidence available through 2026-08-13,reward evidence available through 2026-08-18
stock_tech_s06_nr7_inside_bar_breakout_v1,learning.rolling_avg_return_pct,-0.014108,-0.013153
stock_tech_s06_nr7_inside_bar_breakout_v1,learning.rolling_date_return_lcb90,-0.030287,-0.026642
stock_tech_s06_nr7_inside_bar_breakout_v1,learning.rolling_date_return_mean,-0.009352,-0.008941
stock_tech_s06_nr7_inside_bar_breakout_v1,learning.rolling_hit_rate,0.428571,0.416667
