universe,feature_id,source,category,monthly_sharpe,cagr,max_drawdown,coverage,nearest_ml106_feature,nearest_abs_rank_corr,overlap_tier,action,decision
strategy95_vs_ml106,mom_reversal_6m,alphabuilderstw,momentum,1.2480471019436454,0.40353876361628194,-0.32679083735846615,,BETA_60,0.5792697485404481,medium_related_0_4_0_8,keep_but_cluster_with_ml_neighbor,keep_but_cluster_with_ml_neighbor
strategy95_vs_ml106,mom_rsi_14,alphabuilderstw,momentum,0.8975416619857337,0.25128846984140374,-0.26615605575060464,,rsi14,0.9993928476854859,high_duplicate_ge_0_8,dedupe_or_keep_as_alias,dedupe_or_keep_as_alias
strategy95_vs_ml106,mom_vol_adj_12m,alphabuilderstw,momentum,1.1214955568904736,0.3785676808036287,-0.3517698750706202,,BETA_60,0.41835794536306936,medium_related_0_4_0_8,keep_but_cluster_with_ml_neighbor,keep_but_cluster_with_ml_neighbor
strategy95_vs_ml106,size_log_mktcap,alphabuilderstw,size,1.761838651432996,0.45215565615268805,-0.08287270434707628,,VSTD_10,0.5609764382039321,medium_related_0_4_0_8,keep_but_cluster_with_ml_neighbor,keep_but_cluster_with_ml_neighbor
strategy95_vs_ml106,tech_adx_14,alphabuilderstw,technical,0.8951033835393679,0.23085137531971633,-0.28675862549103426,,volatility_20d,0.3442972167791932,low_novel_lt_0_4,candidate_add_to_shared_pool,selected_for_canonical114
strategy95_vs_ml106,tech_atr_14,alphabuilderstw,technical,1.6244918233475525,0.5884929786548279,-0.14828783657571565,,atr14,0.9941279340651132,high_duplicate_ge_0_8,dedupe_or_keep_as_alias,dedupe_or_keep_as_alias
strategy95_vs_ml106,tech_bbands_pctb_20,alphabuilderstw,technical,0.7211268094531443,0.1483565003945191,-0.2774755313148214,,bb_position,0.9999443322547963,high_duplicate_ge_0_8,dedupe_or_keep_as_alias,dedupe_or_keep_as_alias
strategy95_vs_ml106,tech_bbi,alphabuilderstw,technical,0.7150483335457578,0.20478812545363967,-0.4271951670893068,,ma10_bias,0.9326191069361046,high_duplicate_ge_0_8,dedupe_or_keep_as_alias,dedupe_or_keep_as_alias
strategy95_vs_ml106,tech_bias_20,alphabuilderstw,technical,0.7552470944805161,0.22407244983492536,-0.34984646541159825,,keltner_position,0.9450892319382743,high_duplicate_ge_0_8,dedupe_or_keep_as_alias,dedupe_or_keep_as_alias
strategy95_vs_ml106,tech_bullish_streak_5,alphabuilderstw,event,0.627464809272618,0.11745406563638427,-0.19946566022387324,,CNTP_5,0.5944209378532728,medium_related_0_4_0_8,watch_or_strategy_only,watch_or_strategy_only
strategy95_vs_ml106,tech_cci_20,alphabuilderstw,technical,0.3836270479507817,0.08164126697477925,-0.3320337482414141,,bb_position,0.9767227898324436,high_duplicate_ge_0_8,dedupe_or_keep_as_alias,dedupe_or_keep_as_alias
strategy95_vs_ml106,tech_cmo_14,alphabuilderstw,technical,0.8975416619857337,0.25128846984140374,-0.26615605575060464,,rsi14,0.9993927258943356,high_duplicate_ge_0_8,dedupe_or_keep_as_alias,dedupe_or_keep_as_alias
strategy95_vs_ml106,tech_disposal_active,alphabuilderstw,event,0.22335009573275666,0.04711580003232285,-0.46121354860711583,,BETA_20,0.10985690460566265,low_novel_lt_0_4,watch_or_strategy_only,watch_or_strategy_only
strategy95_vs_ml106,tech_dma_10_50,alphabuilderstw,technical,1.3871775195061278,0.48715579247388807,-0.2540742809829164,,BETA_60,0.723710825044775,medium_related_0_4_0_8,keep_but_cluster_with_ml_neighbor,keep_but_cluster_with_ml_neighbor
strategy95_vs_ml106,tech_donchian_pos_20,alphabuilderstw,technical,0.7201120131520315,0.16447903686554644,-0.2987998649049671,,keltner_position,0.9107736850703709,high_duplicate_ge_0_8,dedupe_or_keep_as_alias,dedupe_or_keep_as_alias
strategy95_vs_ml106,tech_ema_12_pos,alphabuilderstw,technical,0.6141508501251196,0.16782812941038738,-0.4025913183680675,,ma10_bias,0.94414165760613,high_duplicate_ge_0_8,dedupe_or_keep_as_alias,dedupe_or_keep_as_alias
strategy95_vs_ml106,tech_emv_14,alphabuilderstw,technical,1.1391190681485723,0.38090325828724847,-0.16931896718714323,,rsi14,0.5690735844210619,medium_related_0_4_0_8,keep_but_cluster_with_ml_neighbor,keep_but_cluster_with_ml_neighbor
strategy95_vs_ml106,tech_gap_down,alphabuilderstw,event,-0.13270302829605743,0.0031807753869328437,-0.1522391503479512,,return_1d,0.18081403293830364,low_novel_lt_0_4,watch_or_strategy_only,watch_or_strategy_only
strategy95_vs_ml106,tech_gap_up,alphabuilderstw,event,0.5839469258395621,0.12280510767649733,-0.2632860921532625,,return_1d,0.22800646969699398,low_novel_lt_0_4,watch_or_strategy_only,watch_or_strategy_only
strategy95_vs_ml106,tech_granville_score,alphabuilderstw,technical,1.0747948559140006,0.3510467771211254,-0.4565099408510582,,RSQR_60,0.32078948404698776,low_novel_lt_0_4,candidate_add_to_shared_pool,selected_for_canonical114
strategy95_vs_ml106,tech_kd9_k,alphabuilderstw,technical,0.8913395764266677,0.24764986099318276,-0.29677640641030145,,keltner_position,0.8274492501754852,high_duplicate_ge_0_8,dedupe_or_keep_as_alias,dedupe_or_keep_as_alias
strategy95_vs_ml106,tech_kdj_j_9,alphabuilderstw,technical,0.4654677122550752,0.09557018423482178,-0.3294456446489902,,ma10_bias,0.8384366066162492,high_duplicate_ge_0_8,dedupe_or_keep_as_alias,dedupe_or_keep_as_alias
strategy95_vs_ml106,tech_keltner_pos_20,alphabuilderstw,technical,0.7894125839684943,0.20920568958063046,-0.30068196132273295,,keltner_position,0.970339007976908,high_duplicate_ge_0_8,dedupe_or_keep_as_alias,dedupe_or_keep_as_alias
strategy95_vs_ml106,tech_limit_down_count_10,alphabuilderstw,event,0.48916228194607214,0.14123231593221242,-0.46414766693940523,,atr14,0.1320093151526811,low_novel_lt_0_4,watch_or_strategy_only,watch_or_strategy_only
strategy95_vs_ml106,tech_limit_up_streak_10,alphabuilderstw,event,0.6727689530063008,0.19598680087708042,-0.3761747692549413,,KLEN,0.3329485864459929,low_novel_lt_0_4,watch_or_strategy_only,watch_or_strategy_only
strategy95_vs_ml106,tech_locked_open_down_10,alphabuilderstw,event,0.09526026195054785,0.02328998020436579,-0.219070377861193,,BETA_10,0.06851037100747308,low_novel_lt_0_4,watch_or_strategy_only,watch_or_strategy_only
strategy95_vs_ml106,tech_locked_open_up_10,alphabuilderstw,event,0.673262592113276,0.13671178997798816,-0.1729674037731911,,keltner_position,0.08536919709879147,low_novel_lt_0_4,watch_or_strategy_only,watch_or_strategy_only
strategy95_vs_ml106,tech_ma_convergence,alphabuilderstw,technical,0.9387769012180501,0.3011333711795743,-0.2854939826861511,,RSQR_20,0.5844999956250586,medium_related_0_4_0_8,watch_or_strategy_only,watch_or_strategy_only
strategy95_vs_ml106,tech_mfi_14,alphabuilderstw,technical,0.2924981361312414,0.06507907399689938,-0.31583371547724903,,rsi14,0.7889981265816077,medium_related_0_4_0_8,watch_or_strategy_only,watch_or_strategy_only
strategy95_vs_ml106,tech_mtm_10,alphabuilderstw,technical,1.15534920055515,0.3671560583085409,-0.25069716142087894,,BETA_10,0.7773102932894681,medium_related_0_4_0_8,keep_but_cluster_with_ml_neighbor,keep_but_cluster_with_ml_neighbor
strategy95_vs_ml106,tech_obv,alphabuilderstw,technical,0.8524304501168487,0.20356269299295637,-0.2992799886074031,,CNTD_20,0.593553505439773,medium_related_0_4_0_8,watch_or_strategy_only,watch_or_strategy_only
strategy95_vs_ml106,tech_psy_12,alphabuilderstw,technical,0.6253978651336378,0.14714326068579986,-0.2663557794285386,,CNTP_10,0.9009978153134596,high_duplicate_ge_0_8,dedupe_or_keep_as_alias,dedupe_or_keep_as_alias
strategy95_vs_ml106,tech_roc_10,alphabuilderstw,technical,0.9392148828886947,0.3084463429562492,-0.38635927937256054,,BETA_10,0.8595449673452337,high_duplicate_ge_0_8,dedupe_or_keep_as_alias,dedupe_or_keep_as_alias
strategy95_vs_ml106,tech_sar,alphabuilderstw,technical,0.49671730486589166,0.12815455780786067,-0.40807543672903424,,ma10_bias,0.7840362251158987,medium_related_0_4_0_8,watch_or_strategy_only,watch_or_strategy_only
strategy95_vs_ml106,tech_slow_kd_14,alphabuilderstw,technical,0.9438016326041682,0.26862202670030144,-0.19637071913224202,,keltner_position,0.876376272500411,high_duplicate_ge_0_8,dedupe_or_keep_as_alias,dedupe_or_keep_as_alias
strategy95_vs_ml106,tech_sma_20_pos,alphabuilderstw,technical,0.7552470944805161,0.22407244983492536,-0.34984646541159825,,keltner_position,0.9450892059546215,high_duplicate_ge_0_8,dedupe_or_keep_as_alias,dedupe_or_keep_as_alias
strategy95_vs_ml106,tech_tower_3,alphabuilderstw,technical,-0.24389357636612888,-0.008951814697217952,-0.18950121981437784,,ma5_bias,0.6116364261187655,medium_related_0_4_0_8,watch_or_strategy_only,watch_or_strategy_only
strategy95_vs_ml106,tech_trix_12,alphabuilderstw,technical,1.195942094179933,0.4376423193309871,-0.23449129065375574,,BETA_20,0.8007639966642022,high_duplicate_ge_0_8,dedupe_or_keep_as_alias,dedupe_or_keep_as_alias
strategy95_vs_ml106,tech_volume_ratio_5,alphabuilderstw,technical,0.2934269818983998,0.06379995685005269,-0.32470272947426915,,vol_ratio_5d,0.9423534613411059,high_duplicate_ge_0_8,dedupe_or_keep_as_alias,dedupe_or_keep_as_alias
strategy95_vs_ml106,tech_vr_26,alphabuilderstw,technical,0.7765375715212933,0.20118818089798074,-0.3312820408855389,,CNTD_20,0.6085714324144167,medium_related_0_4_0_8,watch_or_strategy_only,watch_or_strategy_only
strategy95_vs_ml106,tech_williams_r_14,alphabuilderstw,technical,0.7951330771405977,0.16983394282918218,-0.23844046513175532,,bb_position,0.8681861497690948,high_duplicate_ge_0_8,dedupe_or_keep_as_alias,dedupe_or_keep_as_alias
strategy95_vs_ml106,tech_wma_10_pos,alphabuilderstw,technical,0.4601214333632537,0.1193516920869575,-0.3858439633969256,,ma10_bias,0.9615265919799961,high_duplicate_ge_0_8,dedupe_or_keep_as_alias,dedupe_or_keep_as_alias
strategy95_vs_ml106,val_bp,alphabuilderstw,valuation,0.9606081304410048,0.3345265914327862,-0.2338468423580754,,atr14,0.6975749766990944,medium_related_0_4_0_8,watch_or_strategy_only,watch_or_strategy_only
strategy95_vs_ml106,val_dp,alphabuilderstw,valuation,-0.24462121814906826,-0.023108074953934632,-0.310270422703245,,KLEN,0.3081970509564075,low_novel_lt_0_4,watch_or_strategy_only,watch_or_strategy_only
strategy95_vs_ml106,val_ep,alphabuilderstw,valuation,-0.08193908357286125,-0.010406964036830835,-0.2659061976666982,,KLEN,0.23267855727709919,low_novel_lt_0_4,watch_or_strategy_only,watch_or_strategy_only
strategy95_vs_ml106,val_sp,alphabuilderstw,valuation,1.5667947443236199,0.3170664797984333,-0.12432960015229066,,atr14,0.2298415820712038,low_novel_lt_0_4,candidate_add_to_shared_pool,selected_for_canonical114
strategy95_vs_ml106,vol_chg_turnover_1y,alphabuilderstw,volume,0.08340600618476303,0.009012614300180966,-0.43468574848050856,,vol_ratio_20d,0.492478124212976,medium_related_0_4_0_8,watch_or_strategy_only,watch_or_strategy_only
strategy95_vs_ml106,vol_cv_volprice_20d,alphabuilderstw,volume,0.570571423399832,0.09970890251396014,-0.20360167261761086,,volatility_20d,0.366385363442651,low_novel_lt_0_4,watch_or_strategy_only,watch_or_strategy_only
strategy95_vs_ml106,vol_money_flow_5d,alphabuilderstw,volume,0.8227079951340446,0.24059171286290826,-0.3923730724729291,,ma5_bias,0.9545739391812841,high_duplicate_ge_0_8,dedupe_or_keep_as_alias,dedupe_or_keep_as_alias
strategy95_vs_ml106,vol_share_turnover_21d,alphabuilderstw,volume,1.3185243687799915,0.45930590670112625,-0.30900958905155307,,VSTD_20,0.7624014409464724,medium_related_0_4_0_8,keep_but_cluster_with_ml_neighbor,keep_but_cluster_with_ml_neighbor
strategy95_vs_ml106,vol_signal_5d,alphabuilderstw,volume,0.20766448599252746,0.042742312506867775,-0.28164314821984926,,volatility_5d,0.5095313612201869,medium_related_0_4_0_8,watch_or_strategy_only,watch_or_strategy_only
strategy95_vs_ml106,vola_cv_90d,alphabuilderstw,volatility,1.287991475978404,0.5133742869047071,-0.341433809113174,,KLEN,0.5555163782732048,medium_related_0_4_0_8,keep_but_cluster_with_ml_neighbor,keep_but_cluster_with_ml_neighbor
strategy95_vs_ml106,vola_min_130d,alphabuilderstw,volatility,0.484704606324487,0.04472047870094298,-0.05754522601735301,,atr14,0.39407235292958775,low_novel_lt_0_4,watch_or_strategy_only,watch_or_strategy_only
strategy95_vs_ml106,vola_realized_12m,alphabuilderstw,volatility,0.5040569206537991,0.11568838496100198,-0.2570640094069787,,KLEN,0.5722803192181395,medium_related_0_4_0_8,watch_or_strategy_only,watch_or_strategy_only
strategy95_vs_ml106,vola_realized_1m,alphabuilderstw,volatility,0.31836370526083163,0.07481867089007044,-0.39786993149487104,,KLEN,0.6670040182754565,medium_related_0_4_0_8,watch_or_strategy_only,watch_or_strategy_only
ml106_best_of_high_low,atr14,stockvision_ml106,other,1.6696966482004338,0.6210741648358218,-0.1482879342068143,0.8490103270223752,self,1,base_contract,base_contract_triage,active_tree_candidate
ml106_best_of_high_low,bb_upper_raw,stockvision_ml106,price_technical,1.4447914810374534,0.5126904764645852,-0.15124244383897734,0.8490103270223752,self,1,base_contract,base_contract_triage,active_tree_candidate
ml106_best_of_high_low,vwap_5d,stockvision_ml106,price_technical,1.3766248040317033,0.476211829919148,-0.1431756210440316,0.8490103270223752,self,1,base_contract,base_contract_triage,active_tree_candidate
ml106_best_of_high_low,WVMA,stockvision_ml106,price_technical,1.339321266074035,0.46256891528876976,-0.1496934683311124,0.8490103270223752,self,1,base_contract,base_contract_triage,active_tree_candidate
ml106_best_of_high_low,bb_lower_raw,stockvision_ml106,price_technical,1.321298763700008,0.46163260808756545,-0.1346403182765623,0.8490103270223752,self,1,base_contract,base_contract_triage,active_tree_candidate
ml106_best_of_high_low,margin_balance,stockvision_ml106,price_technical,1.22696275209144,0.5063645703205581,-0.21257522319569955,0.8490103270223752,self,1,base_contract,base_contract_triage,active_tree_candidate
ml106_best_of_high_low,macdHist,stockvision_ml106,price_technical,1.1633881365923053,0.3413580402574554,-0.27697274185416154,0.8490103270223752,self,1,base_contract,base_contract_triage,active_tree_candidate
ml106_best_of_high_low,VSTD_10,stockvision_ml106,price_technical,1.1223061933613447,0.45209574121977303,-0.2988423208512888,0.8490103270223752,self,1,base_contract,base_contract_triage,active_tree_candidate
ml106_best_of_high_low,BETA_20,stockvision_ml106,price_technical,1.117169003561477,0.425641304032494,-0.301039073183064,0.8490103270223752,self,1,base_contract,base_contract_triage,active_tree_candidate
ml106_best_of_high_low,linear_factor,stockvision_ml106,price_technical,1.1061957119556522,0.1855357357240095,-0.17396684163742504,0.8490103270223752,self,1,base_contract,base_contract_triage,active_tree_candidate
ml106_best_of_high_low,CNTP_20,stockvision_ml106,price_technical,1.0992342163780773,0.30592841961204087,-0.25390602450591016,0.8490103270223752,self,1,base_contract,base_contract_triage,active_tree_candidate
ml106_best_of_high_low,RSQR_20,stockvision_ml106,price_technical,1.0360543005281957,0.1997830109927048,-0.1815529209271679,0.8490103270223752,self,1,base_contract,base_contract_triage,active_tree_candidate
ml106_best_of_high_low,VSTD_20,stockvision_ml106,price_technical,0.9863925106786208,0.37778283174368776,-0.3857193705359393,0.8490103270223752,self,1,base_contract,base_contract_triage,active_tree_candidate
ml106_best_of_high_low,margin_change_5d_ts,stockvision_ml106,price_technical,0.9822929877882141,0.1749601967092007,-0.12932851881860463,0.8490103270223752,self,1,base_contract,base_contract_triage,active_tree_candidate
ml106_best_of_high_low,CNTD_20,stockvision_ml106,price_technical,0.9807318275518376,0.2472665278244479,-0.25629887146885666,0.8490103270223752,self,1,base_contract,base_contract_triage,active_tree_candidate
ml106_best_of_high_low,dealer_5d,stockvision_ml106,chip_margin_flow,0.9709308831190746,0.2894298532652284,-0.20927158948899727,0.8490103270223752,self,1,base_contract,base_contract_triage,active_tree_candidate
ml106_best_of_high_low,RESI_5,stockvision_ml106,price_technical,0.9357175669691824,0.26426723249716555,-0.3623048814335177,0.8490103270223752,self,1,base_contract,base_contract_triage,active_tree_candidate
ml106_best_of_high_low,BETA_10,stockvision_ml106,price_technical,0.912285441422384,0.27129986416789365,-0.34176498090250684,0.8490103270223752,self,1,base_contract,base_contract_triage,active_tree_candidate
ml106_best_of_high_low,foreign_5d,stockvision_ml106,chip_margin_flow,0.9002877246825243,0.25113361524038624,-0.3264120588582371,0.8490103270223752,self,1,base_contract,base_contract_triage,active_tree_candidate
ml106_best_of_high_low,BETA_60,stockvision_ml106,price_technical,0.8968900829719888,0.3087620950703849,-0.36712903584776246,0.8490103270223752,self,1,base_contract,base_contract_triage,active_tree_candidate
ml106_best_of_high_low,KMID,stockvision_ml106,price_technical,0.8947735732653767,0.2482570719195467,-0.3352650538468207,0.8490103270223752,self,1,base_contract,base_contract_triage,active_tree_candidate
ml106_best_of_high_low,rsi5_dulling,stockvision_ml106,price_technical,0.88805152574192,0.20600276746850787,-0.2742616335979161,0.8490103270223752,self,1,base_contract,base_contract_triage,active_tree_candidate
ml106_best_of_high_low,dealer_ratio_5d,stockvision_ml106,chip_margin_flow,0.8832378493725097,0.18074375127123044,-0.11700189622202894,0.8490103270223752,self,1,base_contract,base_contract_triage,active_tree_candidate
ml106_best_of_high_low,rsi14,stockvision_ml106,price_technical,0.8591419048345269,0.23750208742165713,-0.24000349075938632,0.8490103270223752,self,1,base_contract,base_contract_triage,active_tree_candidate
