threshold,component_id,component_size,component_rank,feature_id,leader_feature_id,origin_pool,category,quality_score,monthly_sharpe,cagr,max_drawdown,mean_ic_5d,coverage
0.75,1,35,13,l1_closeAboveMa60Pct,mom_macd_trend_10,strategy95,l1_signal,0.57949,1.067961044854322,0.3440435366918029,-0.401804020127302,-0.017697676680799728,0.8053676500020014
0.75,1,35,14,tech_keltner_pos_20,mom_macd_trend_10,strategy95,technical,0.571981,0.7894125839684943,0.20920568958063046,-0.30068196132273295,-0.028257118209128525,0.8468638674298523
0.75,1,35,15,tech_bias_20,mom_macd_trend_10,strategy95,technical,0.562654,0.7552470944805161,0.22407244983492536,-0.34984646541159825,0.03349804841805848,0.8289877116439178
0.75,1,35,16,tech_sma_20_pos,mom_macd_trend_10,strategy95,technical,0.562654,0.7552470944805161,0.22407244983492536,-0.34984646541159825,-0.0334980484653778,0.8289877116439178
0.75,1,35,17,tech_kd9_k,mom_macd_trend_10,strategy95,technical,0.558379,0.8913395764266677,0.24764986099318276,-0.29677640641030145,-0.012073761323824895,0.9459292318776769
0.75,1,35,18,tech_williams_r_14,mom_macd_trend_10,strategy95,technical,0.556689,0.7951330771405977,0.16983394282918218,-0.23844046513175532,0.01955197803203668,0.8338760357042789
0.75,1,35,19,vol_money_flow_5d,mom_macd_trend_10,strategy95,volume,0.539821,0.8227079951340446,0.24059171286290826,-0.3923730724729291,0.02842568873514042,0.8431543449545691
0.75,1,35,20,tech_bbands_pctb_20,mom_macd_trend_10,strategy95,technical,0.532346,0.7211268094531443,0.1483565003945191,-0.2774755313148214,-0.025125465225420657,0.8289877116439178
0.75,1,35,21,l1_diTrend,mom_macd_trend_10,strategy95,l1_signal,0.529452,0.6174369249706447,0.15262365115076904,-0.28865735159885164,-0.027199473141347547,0.9445332826321899
0.75,1,35,22,RESI_20,mom_macd_trend_10,ml106,price_technical,0.527344,0.7535916703983633,0.25301447215390827,-0.41053889877605876,-0.02936403825748984,0.8490103270223752
