strategy_factor,strategy_source,strategy_category,nearest_ml106_feature,nearest_abs_rank_corr,overlap_tier,strategy_best_direction,strategy_declared_direction,strategy_is_declared_direction,strategy_best_sharpe,strategy_best_cagr,strategy_best_mdd,strategy_mean_ic_5d,ml106_feature_best_direction,ml106_feature_best_sharpe,ml106_feature_best_cagr,ml106_feature_best_mdd,ml106_mean_ic_5d,action
l1_squeezeRelease,stockvision_l1,l1_signal,RSQR_5,0.07494465589526432,low_novel_lt_0_4,high,1.0,1,0.1320163249176404,0.029339244609447812,-0.25110551977135387,-0.003538213802032142,high,-0.002094991401164653,-0.0008777260292843758,-0.39028614955721086,0.0005648894852897115,watch_or_strategy_only
l1_volumeExpansion20,stockvision_l1,l1_signal,vol_ratio_20d,0.5384971612540156,medium_related_0_4_0_8,low,1.0,0,0.298814288574921,0.06909922643270439,-0.2635652773901642,-0.016374917308569815,low,0.5170388258047534,0.07479976644787434,-0.1327605812792646,-0.017806319744645544,watch_or_strategy_only
l1_volumeMomentumDivergence132710,stockvision_l1,l1_signal,vol_ratio_20d,0.3147536889523992,low_novel_lt_0_4,low,1.0,0,1.078882463302884,0.3074725540938874,-0.2974471905913657,-0.015034067710406388,low,0.5170388258047534,0.07479976644787434,-0.1327605812792646,-0.017806319744645544,candidate_add_to_shared_pool
liq_amihud_21d,alphabuilderstw,volatility,VSTD_20,0.7678303012502202,medium_related_0_4_0_8,low,1.0,0,1.389453776642602,0.42296855225624563,-0.20473979659687314,-0.017234238980589386,high,0.9863925106786208,0.37778283174368776,-0.3857193705359393,-0.009164277254993572,keep_but_cluster_with_ml_neighbor
mom_12m_1m,alphabuilderstw,momentum,atr14,0.3160386373306422,low_novel_lt_0_4,high,1.0,1,0.9160370129142429,0.29879493958237147,-0.25733987660329893,0.012758555552196243,high,1.6696966482004338,0.6210741648358218,-0.1482879342068143,-0.010755671697390275,candidate_add_to_shared_pool
mom_9m,alphabuilderstw,momentum,BETA_60,0.46416063121149725,medium_related_0_4_0_8,high,1.0,1,1.1693406421677548,0.4147093054117248,-0.34427272296801537,-0.0007287269651931009,high,0.8968900829719888,0.3087620950703849,-0.36712903584776246,0.0024759305610545326,keep_but_cluster_with_ml_neighbor
mom_close_to_52w_high,alphabuilderstw,momentum,BETA_60,0.5199344835863662,medium_related_0_4_0_8,high,1.0,1,1.197084833838478,0.2675524819928632,-0.23903821719133767,0.029051965857742987,high,0.8968900829719888,0.3087620950703849,-0.36712903584776246,0.0024759305610545326,keep_but_cluster_with_ml_neighbor
mom_hl52,alphabuilderstw,momentum,BETA_60,0.6059725805691121,medium_related_0_4_0_8,high,-1.0,0,1.5289672019025116,0.4028287727256945,-0.26652248227267306,0.008560041936923373,high,0.8968900829719888,0.3087620950703849,-0.36712903584776246,0.0024759305610545326,keep_but_cluster_with_ml_neighbor
mom_ma50_200_ratio,alphabuilderstw,momentum,BETA_60,0.47774504551906755,medium_related_0_4_0_8,high,1.0,1,1.152921352619967,0.33822672840206036,-0.40857744267535434,0.009398449083652049,high,0.8968900829719888,0.3087620950703849,-0.36712903584776246,0.0024759305610545326,keep_but_cluster_with_ml_neighbor
mom_macd_trend_10,alphabuilderstw,momentum,BETA_60,0.7535222482621335,medium_related_0_4_0_8,high,1.0,1,1.4511224098652704,0.505871526589152,-0.24251694478596542,-0.004295178043695222,high,0.8968900829719888,0.3087620950703849,-0.36712903584776246,0.0024759305610545326,keep_but_cluster_with_ml_neighbor
mom_reversal_1m,alphabuilderstw,momentum,BETA_20,0.8504360426556363,high_duplicate_ge_0_8,low,1.0,0,1.0945167853227635,0.32617486216654656,-0.2520266081982223,0.02252116697656678,high,1.117169003561477,0.425641304032494,-0.301039073183064,-0.014284701210931674,dedupe_or_keep_as_alias
mom_reversal_6m,alphabuilderstw,momentum,BETA_60,0.5792697485404481,medium_related_0_4_0_8,low,1.0,0,1.2480471019436454,0.40353876361628194,-0.32679083735846615,0.004860795599460537,high,0.8968900829719888,0.3087620950703849,-0.36712903584776246,0.0024759305610545326,keep_but_cluster_with_ml_neighbor
