feature_id,origin_pool,category,source_system,active_pool_status,direction_mode,direction,coverage,cagr,monthly_sharpe,monthly_sortino,max_drawdown,calmar,win_ratio,total_return,benchmark_alpha,benchmark_beta,trade_count,avg_daily_matches,latest_matches,mean_ic_5d,median_ic_5d,ic_ir_5d,ic_obs_days,nearest_ml106_feature,nearest_abs_rank_corr,max_abs_rank_corr_to_strategy95,quality_bucket,selection_note
stock_vs_market,ml106,other,stockvision_ml106,candidate,high,1.0,0.8490103270223752,-0.030122590969435814,-0.31471923998086054,-0.562274868052442,-0.2696602716318982,-0.11170156349511658,0.3963730569948187,-0.09681365510317841,0.022727210966439274,1.1829243142106851,402.0,10.0,10.0,-0.024371413333793862,-0.027039625775291936,-0.31413261353552074,825.0,,,0.7078263207462515,candidate_after_cross_pool_dedupe,best_of_high_low_in_sample_research_only
vol_ratio_20d,ml106,other,stockvision_ml106,candidate,low,-1.0,0.8490103270223752,0.07479976644787434,0.5170388258047534,0.9841625569425467,-0.1327605812792646,0.563376056104954,0.44587628865979384,0.27144200723401,0.07170185064583166,-0.0693398989472075,410.0,10.0,10.0,-0.017806319744645544,-0.019414956064052243,-0.25789122175946566,825.0,,,0.7375870639126533,candidate_after_cross_pool_dedupe,best_of_high_low_in_sample_research_only
BETA_60,ml106,price_technical,stockvision_ml106,candidate,high,1.0,0.8490103270223752,0.3087620950703849,0.8968900829719888,2.3285450278797044,-0.36712903584776246,0.840995004405949,0.45384615384615384,1.4493777787314288,0.4911971326620377,4.083399252715347,405.0,10.0,10.0,0.0024759305610545326,0.012779591039969122,0.019105070886156005,825.0,,,0.7838344356715108,candidate_after_cross_pool_dedupe,best_of_high_low_in_sample_research_only
CNTD_20,ml106,price_technical,stockvision_ml106,candidate,high,1.0,0.8490103270223752,0.2472665278244479,0.9807318275518376,2.490226793657978,-0.25629887146885666,0.9647209103899181,0.46923076923076923,1.0867486540811244,0.31132462641805303,1.4337969031638553,409.0,10.0,10.0,0.004253655684398926,0.00610508011915209,0.04954480670751825,825.0,,,0.6992516508603387,candidate_after_cross_pool_dedupe,best_of_high_low_in_sample_research_only
CNTD_5,ml106,price_technical,stockvision_ml106,candidate,high,1.0,0.8490103270223752,0.08408231135822009,0.378086729955027,0.7701912986472851,-0.2488282857699201,0.3378994156709629,0.44041450777202074,0.30836886647995776,0.17723771352931555,2.0850748005067015,410.0,10.0,10.0,-0.015763585566174253,-0.018544887800888032,-0.1996287350627072,825.0,,,0.6360377275005615,candidate_after_cross_pool_dedupe,best_of_high_low_in_sample_research_only
CNTN_10,ml106,price_technical,stockvision_ml106,candidate,low,-1.0,0.8490103270223752,-0.025989041496427112,-0.1956476513973464,-0.3263021021812105,-0.27854834276668183,-0.09329837777716576,0.3917525773195876,-0.08393467862263637,0.05198018994205497,1.7451664197494892,410.0,10.0,10.0,0.0005345969153825617,5.1513514148175904e-05,0.006006271165708652,825.0,,,0.6237557746273422,candidate_after_cross_pool_dedupe,best_of_high_low_in_sample_research_only
CNTN_20,ml106,price_technical,stockvision_ml106,candidate,low,-1.0,0.8490103270223752,0.053086798479323294,0.288667457179951,0.5596606780729839,-0.12794114533610312,0.41489897053968877,0.4381443298969072,0.18792304173679342,0.11161483978694192,1.3100189705519478,407.0,10.0,10.0,-0.00940610616651,-0.008176440387090379,-0.09364000272958632,825.0,,,,candidate_after_cross_pool_dedupe,best_of_high_low_in_sample_research_only
CNTN_5,ml106,price_technical,stockvision_ml106,candidate,low,-1.0,0.8490103270223752,0.015823058159040837,0.04426895555558226,0.0836249819011336,-0.24260708779307194,0.06521823463867607,0.4020618556701031,0.053656106734352615,0.07626122928117894,1.3527729434738363,409.0,10.0,10.0,0.010186658891787534,0.008265955629001885,0.11852400466653025,825.0,,,,candidate_after_cross_pool_dedupe,best_of_high_low_in_sample_research_only
CNTP_20,ml106,price_technical,stockvision_ml106,candidate,high,1.0,0.8490103270223752,0.30592841961204087,1.0992342163780773,2.592876556314202,-0.25390602450591016,1.2048409319866302,0.4717948717948718,1.4317664108029704,0.3820106505810754,1.7029301453554009,408.0,10.0,10.0,-0.0009401601331177432,-0.003060217870326537,-0.011036700603155673,825.0,,,0.7729444472230951,candidate_after_cross_pool_dedupe,best_of_high_low_in_sample_research_only
CNTP_5,ml106,price_technical,stockvision_ml106,candidate,high,1.0,0.8490103270223752,0.10359945980000251,0.4516561437953129,0.9031007146791455,-0.24810551995961228,0.41754526204917053,0.4378238341968912,0.388446383408076,0.20744165901744172,2.3242747899880927,410.0,10.0,10.0,-0.01804951616020741,-0.021322238449782253,-0.2517449518708274,825.0,,,0.6370198738563542,candidate_after_cross_pool_dedupe,best_of_high_low_in_sample_research_only
