feature_id,origin_pool,category,selector_role,recommended_status,materializer_status,materialization_ready,duplicate_level,nearest_feature,nearest_abs_rank_corr,preferred_feature_id,high_duplicate_cluster_id,related_cluster_id,priority,allowed_transforms,feature_selection_entry,activation_state
l1_smcBiasBearish,strategy95,l1_signal,evidence_watch,watch_not_selector,materialized,True,related_cluster,l1_smcNetScore,0.75040896,l1_smcBiasBearish,46,1,secondary_evidence,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
l1_smcBullishScore,strategy95,l1_signal,evidence_watch,watch_not_selector,materialized,True,high_duplicate,l1_displacementPct,0.97143443,l1_bestOrderBlockStrength,6,1,secondary_evidence,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
l1_smcNetScore,strategy95,l1_signal,evidence_watch,watch_not_selector,materialized,True,related_cluster,l1_smcBiasBearish,0.75040896,l1_smcNetScore,47,1,secondary_evidence,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
l1_squeezeMomentum,strategy95,l1_signal,core_prior,keep_candidate,materialized,True,high_duplicate,tech_bias_20,0.88986507,mom_macd_trend_10,1,1,primary,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
l1_squeezeRelease,strategy95,l1_signal,evidence_watch,watch_not_selector,materialized,True,independent_candidate,l1_bosBullish,0.12127297,l1_squeezeRelease,48,14,secondary_evidence,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
l1_volumeExpansion20,strategy95,l1_signal,core_prior,keep_candidate,materialized,True,related_cluster,vol_signal_5d,0.71732213,l1_volumeExpansion20,49,1,primary,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
l1_volumeMomentumDivergence132710,strategy95,l1_signal,evidence_watch,watch_not_selector,materialized,True,related_cluster,l1_volumeExpansion20,0.49852121,l1_volumeMomentumDivergence132710,50,1,secondary_evidence,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
liq_amihud_21d,strategy95,volatility,evidence_watch,watch_not_selector,materialized,True,high_duplicate,size_log_mktcap,0.85327785,size_log_mktcap,13,1,secondary_evidence,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
ma60_bias,ml106,price_technical,evidence_watch,watch_not_selector,materialized,True,related_cluster,tech_keltner_pos_20,0.75839431,ma60_bias,52,1,secondary_evidence,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
mom_12m_1m,strategy95,momentum,evidence_watch,watch_not_selector,materialized,True,high_duplicate,mom_vol_adj_12m,0.91759594,mom_hl52,2,1,secondary_evidence,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
