feature_id,origin_pool,category,recommended_status,recommended_pool,reasons,monthly_sharpe,cagr,max_drawdown,mean_ic_5d,coverage,nearest_feature,nearest_abs_rank_corr
tech_granville_score,strategy95,technical,keep_candidate,active_candidate,,1.0747948559140006,0.3510467771211254,-0.4565099408510582,0.008200300223862988,0.7528079093783773,,
tech_mtm_10,strategy95,technical,keep_candidate,active_candidate,,1.15534920055515,0.3671560583085409,-0.25069716142087894,-0.023668102696947795,0.8457591161990153,,
tech_obv,strategy95,technical,keep_candidate,active_candidate,,0.8524304501168487,0.20356269299295637,-0.2992799886074031,-0.01642460306377414,0.8477394628347276,,
tech_trix_12,strategy95,technical,keep_candidate,active_candidate,,1.195942094179933,0.4376423193309871,-0.23449129065375574,-0.007334643418841766,0.9475513349077372,,
tech_volume_ratio_5,strategy95,technical,keep_candidate,active_candidate,,0.2934269818983998,0.06379995685005269,-0.32470272947426915,-0.009415586814862003,0.8498749149421607,,
tech_vr_26,strategy95,technical,keep_candidate,active_candidate,,0.7765375715212933,0.20118818089798074,-0.3312820408855389,-0.01171049680086905,0.8461563863427131,,
val_bp,strategy95,valuation,keep_candidate,active_candidate,,0.9606081304410048,0.3345265914327862,-0.2338468423580754,0.014565206117043691,0.9250210142897171,,
val_sp,strategy95,valuation,keep_candidate,active_candidate,,1.5667947443236199,0.3170664797984333,-0.12432960015229066,0.016807278206852,0.8972040987871753,,
vola_cv_90d,strategy95,volatility,keep_candidate,active_candidate,,1.287991475978404,0.5133742869047071,-0.341433809113174,0.02387624343868334,0.7913090901813233,,
vola_min_130d,strategy95,volatility,keep_candidate,active_candidate,,0.484704606324487,0.04472047870094298,-0.05754522601735301,0.022921307608739734,0.9338700316215026,,
vol_chg_turnover_1y,strategy95,volume,keep_candidate,active_candidate,,0.08340600618476303,0.009012614300180966,-0.43468574848050856,-0.025691648014846292,0.7361715966857463,,
vol_cv_volprice_20d,strategy95,volume,keep_candidate,active_candidate,,0.570571423399832,0.09970890251396014,-0.20360167261761086,0.03506245844812996,0.8289877116439178,,
vol_signal_5d,strategy95,volume,keep_candidate,active_candidate,,0.20766448599252746,0.042742312506867775,-0.28164314821984926,-0.012562317341180292,0.8397730456710564,,
BETA_60,ml106,price_technical,watch_not_selector,context_or_secondary_evidence,duplicate_cluster_weaker_than_leader,0.8968900829719888,0.3087620950703849,-0.36712903584776246,0.0024759305610545326,0.8490103270223752,l1_closeAboveMa60Pct,0.78383444
CNTN_20,ml106,price_technical,watch_not_selector,context_or_secondary_evidence,duplicate_cluster_weaker_than_leader,0.288667457179951,0.053086798479323294,-0.12794114533610312,-0.00940610616651,0.8490103270223752,CNTD_20,0.90523873
CNTN_5,ml106,price_technical,watch_not_selector,context_or_secondary_evidence,duplicate_cluster_weaker_than_leader,0.04426895555558226,0.015823058159040837,-0.24260708779307194,0.010186658891787534,0.8490103270223752,CNTD_5,0.93383406
KLOW2,ml106,price_technical,watch_not_selector,context_or_secondary_evidence,duplicate_cluster_weaker_than_leader,-0.0798954591632305,0.00626552252793422,-0.13611544288977873,-0.013223087038205053,0.8490103270223752,KLOW,0.85668066
KSFT,ml106,price_technical,watch_not_selector,context_or_secondary_evidence,duplicate_cluster_weaker_than_leader,0.6016463949597696,0.15898708748333057,-0.46773006589387756,-0.022674724010259592,0.8490103270223752,vwap_bias,0.9996041
KUP,ml106,price_technical,watch_not_selector,context_or_secondary_evidence,duplicate_cluster_weaker_than_leader,0.5042933300383275,0.13225381566812677,-0.36236029501035705,-0.008571620645999665,0.8490103270223752,KUP2,0.87323763
