pool,feature_id,source,category,monthly_sharpe,cagr,max_drawdown,nearest_other_feature,nearest_abs_rank_corr,overlap_tier,status_current,eligible_current,reason_code
ml106,CNTP_10,stockvision_ml106,price_technical,0.319404,7.12%,-26.24%,strategy95_max_corr,0.900998,high_duplicate_ge_0_8,alias,False,ml106_alias_high_overlap_to_strategy95_not_active_candidate
ml106,vol_ratio_5d,stockvision_ml106,other,0.317761,5.02%,-19.03%,strategy95_max_corr,0.942353,high_duplicate_ge_0_8,alias,False,ml106_alias_high_overlap_to_strategy95_not_active_candidate
ml106,CNTN_20,stockvision_ml106,price_technical,0.288667,5.31%,-12.79%,strategy95_max_corr,,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,CORD_10,stockvision_ml106,price_technical,0.270996,5.27%,-22.98%,strategy95_max_corr,,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,CNTD_10,stockvision_ml106,price_technical,0.237917,5.04%,-32.85%,strategy95_max_corr,0.817282,high_duplicate_ge_0_8,alias,False,ml106_alias_high_overlap_to_strategy95_not_active_candidate
ml106,margin_ratio,stockvision_ml106,price_technical,0.220730,4.18%,-21.53%,strategy95_max_corr,,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,short_squeeze_proxy,stockvision_ml106,chip_margin_flow,0.191591,3.58%,-44.32%,strategy95_max_corr,,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,volatility_20d,stockvision_ml106,price_technical,0.158612,3.33%,-40.73%,strategy95_max_corr,,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,CNTN_5,stockvision_ml106,price_technical,0.044269,1.58%,-24.26%,strategy95_max_corr,,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,ma60_bias,stockvision_ml106,price_technical,0.017353,-0.23%,-36.54%,strategy95_max_corr,0.758394,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,RSQR_5,stockvision_ml106,price_technical,-0.002095,-0.09%,-39.03%,strategy95_max_corr,,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,return_10d,stockvision_ml106,price_technical,-0.006059,-1.49%,-35.43%,strategy95_max_corr,0.826088,high_duplicate_ge_0_8,alias,False,ml106_alias_high_overlap_to_strategy95_not_active_candidate
ml106,return_5d,stockvision_ml106,price_technical,-0.039206,-1.13%,-33.77%,strategy95_max_corr,0.785783,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,short_change_5d,stockvision_ml106,chip_margin_flow,-0.068341,-0.74%,-27.64%,strategy95_max_corr,,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,KLOW2,stockvision_ml106,price_technical,-0.079895,0.63%,-13.61%,strategy95_max_corr,,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,KMID2,stockvision_ml106,price_technical,-0.184554,-1.03%,-20.23%,strategy95_max_corr,0.669663,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,IMAX_20,stockvision_ml106,price_technical,-0.185556,-2.80%,-42.15%,strategy95_max_corr,0.635959,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,CNTN_10,stockvision_ml106,price_technical,-0.195648,-2.60%,-27.85%,strategy95_max_corr,0.623756,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,adl_trend_numeric,stockvision_ml106,market_regime,-0.232864,-0.74%,-18.05%,strategy95_max_corr,0.767160,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,adl_value,stockvision_ml106,market_regime,-0.232864,-0.74%,-18.05%,strategy95_max_corr,0.767160,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,advance_ratio,stockvision_ml106,market_regime,-0.232864,-0.74%,-18.05%,strategy95_max_corr,0.767160,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
