feature_id,origin_pool,category,selector_role,recommended_status,materializer_status,quality_score,monthly_sharpe,cagr,max_drawdown,mean_ic_5d,coverage,nearest_feature,nearest_abs_rank_corr,nearest_rank_corr,duplicate_level,high_duplicate_cluster_id,high_duplicate_cluster_leader,related_cluster_id,related_cluster_leader,preferred_feature_id,similarity_status
CNTD_20,ml106,price_technical,core_prior,keep_candidate,materialized,0.597642,0.9807318275518376,0.2472665278244479,-0.25629887146885666,0.004253655684398926,0.8490103270223752,CNTN_20,0.90523873,-0.90523873,high_duplicate,3,CNTP_20,1,size_log_mktcap,CNTP_20,measured
CNTD_5,ml106,price_technical,core_prior,keep_candidate,materialized,0.467588,0.378086729955027,0.08408231135822009,-0.2488282857699201,-0.015763585566174253,0.8490103270223752,CNTN_5,0.93383406,-0.93383406,high_duplicate,4,CNTP_5,1,size_log_mktcap,CNTP_5,measured
CNTP_20,ml106,price_technical,core_prior,keep_candidate,materialized,0.633563,1.0992342163780773,0.30592841961204087,-0.25390602450591016,-0.0009401601331177432,0.8490103270223752,CNTD_20,0.89818446,0.89818446,high_duplicate,3,CNTP_20,1,size_log_mktcap,CNTP_20,measured
CNTP_5,ml106,price_technical,core_prior,keep_candidate,materialized,0.498057,0.4516561437953129,0.10359945980000251,-0.24810551995961228,-0.01804951616020741,0.8490103270223752,CNTD_5,0.93015669,0.93015669,high_duplicate,4,CNTP_5,1,size_log_mktcap,CNTP_5,measured
CORD_10,ml106,price_technical,core_prior,keep_candidate,materialized,0.514538,0.27099576495451244,0.05274356967883698,-0.22975608455038365,-0.034071551312261125,0.8490103270223752,CORR_10,0.67455997,0.67455997,related_cluster,15,CORD_10,1,size_log_mktcap,CORD_10,measured
CORR_10,ml106,price_technical,core_prior,keep_candidate,materialized,0.544819,0.40596350747411103,0.06300348314960735,-0.215631511160006,-0.032580537176863884,0.8490103270223752,CORD_10,0.67455997,0.67455997,related_cluster,16,CORR_10,1,size_log_mktcap,CORR_10,measured
IMIN_20,ml106,price_technical,core_prior,keep_candidate,materialized,0.503059,0.6028733454001812,0.10600118711279816,-0.18265483538954708,0.0022061193201845897,0.8490103270223752,IMXD_20,0.76739708,-0.76739708,related_cluster,17,IMIN_20,1,size_log_mktcap,IMIN_20,measured
IMXD_20,ml106,price_technical,core_prior,keep_candidate,materialized,0.476912,0.617580100269255,0.1498800760766914,-0.28000730545254804,0.004077178672048777,0.8490103270223752,IMIN_20,0.76739708,-0.76739708,related_cluster,18,IMXD_20,1,size_log_mktcap,IMXD_20,measured
KLEN,ml106,price_technical,core_prior,keep_candidate,materialized,0.557834,0.6068693319881608,0.1705486514243293,-0.38736495329600396,-0.05044792028930972,0.8490103270223752,vola_realized_1m,0.66700402,-0.66700402,related_cluster,19,KLEN,1,size_log_mktcap,KLEN,measured
KLOW,ml106,price_technical,core_prior,keep_candidate,materialized,0.540447,0.52083573025954,0.11508203157544328,-0.2991935949723702,-0.032584146140033084,0.8490103270223752,KLOW2,0.85668066,0.85668066,high_duplicate,7,KLOW,3,KLOW,KLOW,measured
KMID,ml106,price_technical,core_prior,keep_candidate,materialized,0.582447,0.8947735732653767,0.2482570719195467,-0.3352650538468207,-0.016044050814931078,0.8490103270223752,vwap_bias,0.79176177,0.79176177,related_cluster,20,KMID,1,size_log_mktcap,KMID,measured
KUP2,ml106,price_technical,core_prior,keep_candidate,materialized,0.505065,0.46429285394254055,0.07510282180653083,-0.19778641626976323,0.015127223436381228,0.8490103270223752,KUP,0.87323763,0.87323763,high_duplicate,9,KUP2,1,size_log_mktcap,KUP2,measured
RESI_10,ml106,price_technical,core_prior,keep_candidate,materialized,0.555788,0.6961414421710056,0.20162945335112448,-0.34016361966459974,-0.024413536721783594,0.8490103270223752,vol_money_flow_5d,0.7434585,-0.7434585,related_cluster,21,RESI_10,1,size_log_mktcap,RESI_10,measured
RESI_5,ml106,price_technical,core_prior,keep_candidate,materialized,0.551518,0.9357175669691824,0.26426723249716555,-0.3623048814335177,-0.008104311721233284,0.8490103270223752,l1_displacementPct,0.66980757,0.66980757,related_cluster,23,RESI_5,1,size_log_mktcap,RESI_5,measured
RSQR_10,ml106,price_technical,core_prior,keep_candidate,materialized,0.519893,0.5492318597222078,0.10641065479470435,-0.1266014010184564,-0.0005563138075546183,0.8490103270223752,tech_ma_convergence,0.42353564,-0.42353564,related_cluster,25,RSQR_10,1,size_log_mktcap,RSQR_10,measured
RSQR_20,ml106,price_technical,core_prior,keep_candidate,materialized,0.654486,1.0360543005281957,0.1997830109927048,-0.1815529209271679,0.011248603066798316,0.8490103270223752,tech_ma_convergence,0.5845,-0.5845,related_cluster,26,RSQR_20,1,size_log_mktcap,RSQR_20,measured
RSQR_60,ml106,price_technical,core_prior,keep_candidate,materialized,0.52656,0.6591787619746001,0.14461410526109963,-0.19051598577570117,0.0024164649992514803,0.8490103270223752,tech_adx_14,0.34057708,0.34057708,independent_candidate,27,RSQR_60,6,RSQR_60,RSQR_60,measured
linear_factor,ml106,price_technical,core_prior,keep_candidate,materialized,0.664519,1.1061957119556522,0.1855357357240095,-0.17396684163742504,-0.011288672783924866,0.8490103270223752,BETA_60,0.66084996,0.66084996,related_cluster,51,linear_factor,1,size_log_mktcap,linear_factor,measured
margin_balance,ml106,price_technical,core_prior,keep_candidate,materialized,0.767453,1.22696275209144,0.5063645703205581,-0.21257522319569955,0.0009833094987732696,0.8490103270223752,VSTD_20,0.70478794,0.70478794,related_cluster,53,margin_balance,1,size_log_mktcap,margin_balance,measured
margin_change_5d_ts,ml106,price_technical,core_prior,keep_candidate,materialized,0.63761,0.9822929877882141,0.1749601967092007,-0.12932851881860463,-0.004256894031606372,0.8490103270223752,l1_volumeExpansion20,0.21348038,0.21348038,independent_candidate,54,margin_change_5d_ts,15,margin_change_5d_ts,margin_change_5d_ts,measured
margin_ratio,ml106,price_technical,core_prior,keep_candidate,materialized,0.409079,0.22072981634528877,0.041830105422884456,-0.21528915946603833,0.007365367971281414,0.8490103270223752,val_bp,0.527274,0.527274,related_cluster,55,margin_ratio,1,size_log_mktcap,margin_ratio,measured
rsi5_dulling,ml106,price_technical,core_prior,keep_candidate,materialized,0.592971,0.88805152574192,0.20600276746850787,-0.2742616335979161,-0.014983518302025453,0.8490103270223752,tech_wma_10_pos,0.40378069,0.40378069,related_cluster,58,rsi5_dulling,1,size_log_mktcap,rsi5_dulling,measured
volatility_20d,ml106,price_technical,core_prior,keep_candidate,materialized,0.299668,0.15861162721279515,0.033253543999161916,-0.40730346967219666,-0.011327749917532002,0.8490103270223752,volatility_5d,0.5047917,0.5047917,related_cluster,91,volatility_20d,1,size_log_mktcap,volatility_20d,measured
volatility_5d,ml106,price_technical,core_prior,keep_candidate,materialized,0.480161,0.3253250274601661,0.06953433513360352,-0.20063089471742568,-0.015947277093648887,0.8490103270223752,vol_signal_5d,0.50953136,0.50953136,related_cluster,92,volatility_5d,1,size_log_mktcap,volatility_5d,measured
size_log_mktcap,strategy95,size,core_prior,keep_candidate,materialized,0.96815,1.761838651432996,0.45215565615268805,-0.08287270434707628,-0.02933103388932737,0.8990653644478245,liq_amihud_21d,0.85327785,0.85327785,high_duplicate,13,size_log_mktcap,1,size_log_mktcap,size_log_mktcap,measured
tech_adx_14,strategy95,technical,core_prior,keep_candidate,materialized,0.555737,0.8951033835393679,0.23085137531971633,-0.28675862549103426,0.0011158948052711773,0.9430832966417164,l1_bbBandwidthPct,0.39953322,0.39953322,independent_candidate,60,tech_adx_14,16,tech_adx_14,tech_adx_14,measured
