feature_id,feature_ref,ok,ref_type,registry_status,runtime_signal,selector_role,source,strategy_id,threshold_path
l1_volumeExpansion20,,True,registry_feature,formal_candidate,volumeExpansion20,core_prior,ts_bootstrap,defensive_accumulation_seed_v1,minVolumeExpansion20
l1_foreignTrustNet5d,,True,registry_feature,formal_candidate,foreignTrustNet5d,core_prior,ts_bootstrap,defensive_accumulation_seed_v1,minForeignTrustNet5d
,,True,runtime_gate,not_applicable,runtime_gate.price,,ts_bootstrap,finlab_ai_skill_quality_trend_v1,minPrice
tech_sma_20_pos,,True,registry_feature,formal_candidate,closeAboveMa20Pct,evidence_watch,ts_bootstrap,finlab_ai_skill_quality_trend_v1,minCloseAboveMa20Pct
l1_volumeExpansion20,,True,registry_feature,formal_candidate,volumeExpansion20,core_prior,ts_bootstrap,finlab_ai_skill_quality_trend_v1,minVolumeExpansion20
l1_revenueGrowthYoY,,True,registry_feature,formal_candidate,revenueGrowthYoY,core_prior,ts_bootstrap,finlab_ai_skill_quality_trend_v1,minRevenueGrowthYoY
l1_roe,,True,registry_feature,formal_candidate,roe,evidence_watch,ts_bootstrap,finlab_ai_skill_quality_trend_v1,minRoe
l1_eps,,True,registry_feature,formal_candidate,eps,core_prior,ts_bootstrap,finlab_ai_skill_quality_trend_v1,minEps
val_ep,,True,registry_feature,formal_candidate,pe,evidence_watch,ts_bootstrap,finlab_ai_skill_quality_trend_v1,maxPe
,,True,runtime_gate,not_applicable,runtime_gate.price,,ts_bootstrap,finlab_ai_skill_reversion_value_v1,minPrice
l1_volumeExpansion20,,True,registry_feature,formal_candidate,volumeExpansion20,core_prior,ts_bootstrap,finlab_ai_skill_reversion_value_v1,minVolumeExpansion20
l1_return20d,,True,registry_feature,formal_candidate,return20d,evidence_watch,ts_bootstrap,finlab_ai_skill_reversion_value_v1,maxReturn20d
l1_eps,,True,registry_feature,formal_candidate,eps,core_prior,ts_bootstrap,finlab_ai_skill_reversion_value_v1,minEps
val_ep,,True,registry_feature,formal_candidate,pe,evidence_watch,ts_bootstrap,finlab_ai_skill_reversion_value_v1,maxPe
val_bp,,True,registry_feature,formal_candidate,pb,core_prior,ts_bootstrap,finlab_ai_skill_reversion_value_v1,maxPb
,,True,runtime_gate,not_applicable,runtime_gate.price,,ts_bootstrap,finlab_ai_skill_revenue_revision_breakout_v1,minPrice
tech_sma_20_pos,,True,registry_feature,formal_candidate,closeAboveMa20Pct,evidence_watch,ts_bootstrap,finlab_ai_skill_revenue_revision_breakout_v1,minCloseAboveMa20Pct
l1_volumeExpansion20,,True,registry_feature,formal_candidate,volumeExpansion20,core_prior,ts_bootstrap,finlab_ai_skill_revenue_revision_breakout_v1,minVolumeExpansion20
l1_revenueGrowthYoY,,True,registry_feature,formal_candidate,revenueGrowthYoY,core_prior,ts_bootstrap,finlab_ai_skill_revenue_revision_breakout_v1,minRevenueGrowthYoY
l1_roe,,True,registry_feature,formal_candidate,roe,evidence_watch,ts_bootstrap,finlab_ai_skill_revenue_revision_breakout_v1,minRoe
mom_rsi_14,,True,registry_feature,formal_candidate,technicalIndicators.rsi14,evidence_watch,ts_bootstrap,finlab_ai_skill_revenue_revision_breakout_v1,minTechnicalIndicators.rsi14
l1_volumeExpansion20,,True,registry_feature,formal_candidate,technicalIndicators.volumeExpansion20,core_prior,ts_bootstrap,finlab_ai_skill_revenue_revision_breakout_v1,minTechnicalIndicators.volumeExpansion20
tech_sma_20_pos,,True,registry_feature,formal_candidate,technicalIndicators.closeAboveMa20Pct,evidence_watch,ts_bootstrap,finlab_ai_skill_revenue_revision_breakout_v1,minTechnicalIndicators.closeAboveMa20Pct
mom_rsi_14,,True,registry_feature,formal_candidate,technicalIndicators.rsi14,evidence_watch,ts_bootstrap,finlab_ai_skill_revenue_revision_breakout_v1,maxTechnicalIndicators.rsi14
l1_monthlyRevenueYoY,,True,registry_feature,formal_candidate,factorSignals.monthlyRevenueYoY,core_prior,ts_bootstrap,finlab_ai_skill_revenue_revision_breakout_v1,minFactorSignals.monthlyRevenueYoY
l1_monthlyRevenueMoM,,True,registry_feature,formal_candidate,factorSignals.monthlyRevenueMoM,core_prior,ts_bootstrap,finlab_ai_skill_revenue_revision_breakout_v1,minFactorSignals.monthlyRevenueMoM
l1_revenueGrowthYoY,,True,registry_feature,formal_candidate,factorSignals.revenueGrowthYoY,core_prior,ts_bootstrap,finlab_ai_skill_revenue_revision_breakout_v1,minFactorSignals.revenueGrowthYoY
,,True,runtime_gate,not_applicable,runtime_gate.price,,ts_bootstrap,finlab_ai_skill_broker_accumulation_reclaim_v1,minPrice
l1_volumeExpansion20,,True,registry_feature,formal_candidate,volumeExpansion20,core_prior,ts_bootstrap,finlab_ai_skill_broker_accumulation_reclaim_v1,minVolumeExpansion20
l1_brokerNetAmount5d,,True,registry_feature,formal_candidate,brokerNetAmount5d,core_prior,ts_bootstrap,finlab_ai_skill_broker_accumulation_reclaim_v1,minBrokerNetAmount5d
