strategy_factor,strategy_source,strategy_category,ml_feature,rank_corr,abs_rank_corr,n_obs,strategy_mean_ic,ml_mean_ic
tech_sma_20_pos,alphabuilderstw,technical,BETA_10,0.8069937809706228,0.8069937809706228,828424,-0.0334980484653778,-0.024214918688092158
tech_roc_10,alphabuilderstw,technical,bb_position,0.8032843018809437,0.8032843018809437,845184,-0.02591106281862681,-0.024891557255207197
tech_trix_12,alphabuilderstw,technical,BETA_20,0.8007639966642022,0.8007639966642022,848320,-0.007334643418841766,-0.014284701210931674
vol_money_flow_5d,alphabuilderstw,volume,BETA_5,-0.7998926237525207,0.7998926237525207,842581,0.02842568873514042,-0.03748957786760976
tech_kd9_k,alphabuilderstw,technical,bb_position,0.7984872443554498,0.7984872443554498,847529,-0.012073761323824895,-0.024891557255207197
tech_bias_20,alphabuilderstw,technical,BETA_20,-0.7955810125212761,0.7955810125212761,828424,0.03349804841805848,-0.014284701210931674
tech_sma_20_pos,alphabuilderstw,technical,BETA_20,0.7955809610224089,0.7955809610224089,828424,-0.0334980484653778,-0.014284701210931674
mom_rsi_14,alphabuilderstw,momentum,BETA_20,0.7948028049503341,0.7948028049503341,832442,-0.016680265262073793,-0.014284701210931674
tech_cmo_14,alphabuilderstw,technical,BETA_20,0.7948022444577307,0.7948022444577307,832442,-0.016679944600498108,-0.014284701210931674
tech_roc_10,alphabuilderstw,technical,ma10_bias,0.7911927450032633,0.7911927450032633,845184,-0.02591106281862681,-0.039719990304153976
tech_cci_20,alphabuilderstw,technical,ma10_bias,0.7906829784516785,0.7906829784516785,828424,-0.019377130117994135,-0.039719990304153976
tech_cci_20,alphabuilderstw,technical,ma20_bias,0.7893570538345605,0.7893570538345605,828424,-0.019377130117994135,-0.027081082099558094
l1_return20d,stockvision_l1,l1_signal,keltner_position,0.7891029952605512,0.7891029952605512,843947,-0.022857431844817755,-0.026209558310383026
tech_ema_12_pos,alphabuilderstw,technical,BETA_10,0.7890596114476699,0.7890596114476699,848433,-0.03928779210510085,-0.024214918688092158
tech_mfi_14,alphabuilderstw,technical,rsi14,-0.7889981265816077,0.7889981265816077,847996,0.021913024991509725,-0.016774643423643286
tech_bias_20,alphabuilderstw,technical,ma20_bias,-0.7885158686159228,0.7885158686159228,828424,0.03349804841805848,-0.027081082099558094
tech_sma_20_pos,alphabuilderstw,technical,ma20_bias,0.7885157558167494,0.7885157558167494,828424,-0.0334980484653778,-0.027081082099558094
vol_money_flow_5d,alphabuilderstw,volume,return_3d,-0.7881810293268653,0.7881810293268653,842581,0.02842568873514042,-0.030380253564112898
tech_bbi,alphabuilderstw,technical,vwap_bias_5d,0.7881110035390442,0.7881110035390442,825533,-0.039384848132628644,-0.037759770316934456
l1_squeezeMomentum,stockvision_l1,l1_signal,bb_position,0.787908629318744,0.787908629318744,828424,-0.026841176628363144,-0.024891557255207197
tech_wma_10_pos,alphabuilderstw,technical,return_5d,0.7857827672546255,0.7857827672546255,837073,-0.041090535300176596,-0.030274600970103344
tech_sar,alphabuilderstw,technical,ma10_bias,0.7840362251158987,0.7840362251158987,848433,-0.02242895186482997,-0.039719990304153976
l1_closeAboveMa60Pct,stockvision_l1,l1_signal,BETA_60,0.7838344356715108,0.7838344356715108,804820,-0.017697676680799728,0.0024759305610545326
tech_bias_20,alphabuilderstw,technical,RESI_60,-0.7828144475736643,0.7828144475736643,828424,0.03349804841805848,-0.030571293526659913
tech_sma_20_pos,alphabuilderstw,technical,RESI_60,0.7828143190237623,0.7828143190237623,828424,-0.0334980484653778,-0.030571293526659913
tech_bbi,alphabuilderstw,technical,ma20_bias,0.7795926592047884,0.7795926592047884,825533,-0.039384848132628644,-0.027081082099558094
tech_ema_12_pos,alphabuilderstw,technical,ma20_bias,0.7795771021195078,0.7795771021195078,848433,-0.03928779210510085,-0.027081082099558094
tech_bbi,alphabuilderstw,technical,ma5_bias,0.7788270435829385,0.7788270435829385,825533,-0.039384848132628644,-0.03868098345144716
tech_mtm_10,alphabuilderstw,technical,BETA_10,0.7773102932894681,0.7773102932894681,845184,-0.023668102696947795,-0.024214918688092158
tech_ema_12_pos,alphabuilderstw,technical,vwap_bias_5d,0.7755045298790699,0.7755045298790699,848433,-0.03928779210510085,-0.037759770316934456
tech_psy_12,alphabuilderstw,technical,CNTP_20,-0.7729444472230951,0.7729444472230951,848433,0.008930668763483758,-0.0009401601331177432
tech_kd9_k,alphabuilderstw,technical,ma10_bias,0.7719646970600791,0.7719646970600791,847529,-0.012073761323824895,-0.039719990304153976
tech_williams_r_14,alphabuilderstw,technical,rsi14,-0.771730980612254,0.771730980612254,833309,0.01955197803203668,-0.016774643423643286
l1_macdHist,stockvision_l1,l1_signal,ma20_bias,0.7705990083733543,0.7705990083733543,848433,-0.021495125567087565,-0.027081082099558094
