strategy_factor,strategy_source,strategy_category,ml_feature,rank_corr,abs_rank_corr,n_obs,strategy_mean_ic,ml_mean_ic
l1_volumeExpansion20,stockvision_l1,l1_signal,vol_ratio_20d,0.5384971612540156,0.5384971612540156,844893,-0.016374917308569815,-0.017806319744645544
mom_close_to_52w_high,alphabuilderstw,momentum,BETA_60,0.5199344835863662,0.5199344835863662,738494,0.029051965857742987,0.0024759305610545326
vol_signal_5d,alphabuilderstw,volume,volatility_5d,0.5095313612201869,0.5095313612201869,837440,-0.012562317341180292,-0.015947277093648887
l1_brokerNetAmount5d,stockvision_l1,l1_signal,chip_5d,0.49470245400300444,0.49470245400300444,842581,-0.007521262249676595,0.0021503877079820403
vol_chg_turnover_1y,alphabuilderstw,volume,vol_ratio_20d,0.492478124212976,0.492478124212976,735671,-0.025691648014846292,-0.017806319744645544
mom_ma50_200_ratio,alphabuilderstw,momentum,BETA_60,0.47774504551906755,0.47774504551906755,752296,0.009398449083652049,0.0024759305610545326
mom_9m,alphabuilderstw,momentum,BETA_60,0.46416063121149725,0.46416063121149725,826034,-0.0007287269651931009,0.0024759305610545326
l1_bestFvgStrength,stockvision_l1,l1_signal,ma5_bias,0.4377957698172054,0.4377957698172054,846528,-0.017576255853314408,-0.03868098345144716
mom_vol_adj_12m,alphabuilderstw,momentum,BETA_60,0.41835794536306936,0.41835794536306936,820248,0.008617848802879415,0.0024759305610545326
vola_min_130d,alphabuilderstw,volatility,atr14,-0.39407235292958775,0.39407235292958775,834710,0.022921307608739734,-0.010755671697390275
vol_cv_volprice_20d,alphabuilderstw,volume,volatility_20d,-0.366385363442651,0.366385363442651,828424,0.03506245844812996,-0.011327749917532002
tech_adx_14,alphabuilderstw,technical,volatility_20d,0.3442972167791932,0.3442972167791932,845516,0.0011158948052711773,-0.011327749917532002
l1_bosBullish,stockvision_l1,l1_signal,bb_position,0.34183706180786144,0.34183706180786144,848433,-0.005600198944839038,-0.024891557255207197
tech_limit_up_streak_10,alphabuilderstw,event,KLEN,-0.3329485864459929,0.3329485864459929,848433,0.026331679708559236,-0.05044792028930972
tech_granville_score,alphabuilderstw,technical,RSQR_60,0.32078948404698776,0.32078948404698776,752296,0.008200300223862988,0.0024164649992514803
mom_12m_1m,alphabuilderstw,momentum,atr14,0.3160386373306422,0.3160386373306422,818281,0.012758555552196243,-0.010755671697390275
l1_volumeMomentumDivergence132710,stockvision_l1,l1_signal,vol_ratio_20d,0.3147536889523992,0.3147536889523992,841918,-0.015034067710406388,-0.017806319744645544
val_dp,alphabuilderstw,valuation,KLEN,-0.3081970509564075,0.3081970509564075,845176,0.04901782818173527,-0.05044792028930972
l1_sectorRsRatio,stockvision_l1,l1_signal,BETA_20,0.29265120894891294,0.29265120894891294,848433,0.0019576140875787957,-0.014284701210931674
l1_chochBullish,stockvision_l1,l1_signal,return_1d,0.2787945926617755,0.2787945926617755,848433,-0.011856399098572544,-0.021568016119857314
l1_sectorRsMomentum,stockvision_l1,l1_signal,RESI_60,0.2420664049552377,0.2420664049552377,848433,0.006739977157263381,-0.030571293526659913
val_ep,alphabuilderstw,valuation,KLEN,-0.23267855727709919,0.23267855727709919,833100,0.042830602459496964,-0.05044792028930972
val_sp,alphabuilderstw,valuation,atr14,-0.2298415820712038,0.2298415820712038,843815,0.016807278206852,-0.010755671697390275
tech_gap_up,alphabuilderstw,event,return_1d,0.22800646969699398,0.22800646969699398,848433,-0.0070815097748843535,-0.021568016119857314
l1_sectorFlowCore,stockvision_l1,l1_signal,BETA_20,0.21419709422419705,0.21419709422419705,848433,0.0032061329011344878,-0.014284701210931674
l1_monthlyRevenueYoY,stockvision_l1,l1_signal,atr14,0.19582269214518014,0.19582269214518014,845301,0.024659111490249887,-0.010755671697390275
l1_revenueGrowthYoY,stockvision_l1,l1_signal,atr14,0.18203234428723875,0.18203234428723875,840076,0.009590999114419211,-0.010755671697390275
tech_gap_down,alphabuilderstw,event,return_1d,0.18081403293830364,0.18081403293830364,848433,0.0059718123397527936,-0.021568016119857314
l1_liquiditySweepBullish,stockvision_l1,l1_signal,IMIN_20,-0.16659661369826137,0.16659661369826137,848433,-0.0049869237405415386,0.0022061193201845897
l1_monthlyRevenueMoM,stockvision_l1,l1_signal,BETA_20,0.1349519412700503,0.1349519412700503,845854,0.005117606036915116,-0.014284701210931674
tech_limit_down_count_10,alphabuilderstw,event,atr14,-0.1320093151526811,0.1320093151526811,848433,0.0075002017321804445,-0.010755671697390275
l1_sectorTurnoverShareDelta,stockvision_l1,l1_signal,vol_ratio_20d,0.1295867444913366,0.1295867444913366,848433,-0.0022011811953322777,-0.017806319744645544
tech_disposal_active,alphabuilderstw,event,BETA_20,-0.10985690460566265,0.10985690460566265,848433,-0.003577431567739164,-0.014284701210931674
tech_locked_open_up_10,alphabuilderstw,event,keltner_position,0.08536919709879147,0.08536919709879147,848433,0.00483954471717201,-0.026209558310383026
l1_squeezeRelease,stockvision_l1,l1_signal,RSQR_5,0.07494465589526432,0.07494465589526432,848433,-0.003538213802032142,0.0005648894852897115
tech_locked_open_down_10,alphabuilderstw,event,BETA_10,0.06851037100747308,0.06851037100747308,848433,0.007954923747138052,-0.024214918688092158
