id,kind,feature_id,feature_group,direction_mode,direction,coverage,avg_rank_std,status,elapsed_s,cagr,benchmark_alpha,benchmark_beta,total_return,max_drawdown,monthly_sharpe,monthly_sortino,calmar,win_ratio,avg_n_stock,max_n_stock,trade_count,avg_turnover_proxy,match_days,avg_daily_matches,max_daily_matches,latest_matches
ml106_market_risk_score_high,ml_feature_single,market_risk_score,price_technical,high,1,0.8490103270223752,2.917432642029564e-17,ok,0.085,-0.007382988729009665,0.022051275735841022,0.6588200112580594,-0.024368989286035703,-0.18051310455056135,-0.2328641806973774,-0.4700562557686208,-0.04089774961155634,0.4329896907216495,10.0,10.0,400,,830,10.0,10,10
ml106_market_risk_score_low,ml_feature_single,market_risk_score,price_technical,low,-1,0.8490103270223752,2.917432642029564e-17,ok,0.083,-0.007382988729009665,0.022051275735841022,0.6588200112580594,-0.024368989286035703,-0.18051310455056135,-0.2328641806973774,-0.4700562557686208,-0.04089774961155634,0.4329896907216495,10.0,10.0,400,,830,10.0,10,10
ml106_market_risk_level_high,ml_feature_single,market_risk_level,price_technical,high,1,0.8490103270223752,2.917432642029564e-17,ok,0.075,-0.007382988729009665,0.022051275735841022,0.6588200112580594,-0.024368989286035703,-0.18051310455056135,-0.2328641806973774,-0.4700562557686208,-0.04089774961155634,0.4329896907216495,10.0,10.0,400,,830,10.0,10,10
ml106_market_risk_level_low,ml_feature_single,market_risk_level,price_technical,low,-1,0.8490103270223752,2.917432642029564e-17,ok,0.083,-0.007382988729009665,0.022051275735841022,0.6588200112580594,-0.024368989286035703,-0.18051310455056135,-0.2328641806973774,-0.4700562557686208,-0.04089774961155634,0.4329896907216495,10.0,10.0,400,,830,10.0,10,10
ml106_market_return_1d_high,ml_feature_single,market_return_1d,price_technical,high,1,0.8490103270223752,2.917432642029564e-17,ok,0.083,-0.007382988729009665,0.022051275735841022,0.6588200112580594,-0.024368989286035703,-0.18051310455056135,-0.2328641806973774,-0.4700562557686208,-0.04089774961155634,0.4329896907216495,10.0,10.0,400,,830,10.0,10,10
ml106_market_return_1d_low,ml_feature_single,market_return_1d,price_technical,low,-1,0.8490103270223752,2.917432642029564e-17,ok,0.083,-0.007382988729009665,0.022051275735841022,0.6588200112580594,-0.024368989286035703,-0.18051310455056135,-0.2328641806973774,-0.4700562557686208,-0.04089774961155634,0.4329896907216495,10.0,10.0,400,,830,10.0,10,10
ml106_market_return_5d_high,ml_feature_single,market_return_5d,price_technical,high,1,0.8490103270223752,2.917432642029564e-17,ok,0.083,-0.007382988729009665,0.022051275735841022,0.6588200112580594,-0.024368989286035703,-0.18051310455056135,-0.2328641806973774,-0.4700562557686208,-0.04089774961155634,0.4329896907216495,10.0,10.0,400,,830,10.0,10,10
ml106_market_return_5d_low,ml_feature_single,market_return_5d,price_technical,low,-1,0.8490103270223752,2.917432642029564e-17,ok,0.068,-0.007382988729009665,0.022051275735841022,0.6588200112580594,-0.024368989286035703,-0.18051310455056135,-0.2328641806973774,-0.4700562557686208,-0.04089774961155634,0.4329896907216495,10.0,10.0,400,,830,10.0,10,10
ml106_market_bias_20d_high,ml_feature_single,market_bias_20d,price_technical,high,1,0.8490103270223752,2.917432642029564e-17,ok,0.083,-0.007382988729009665,0.022051275735841022,0.6588200112580594,-0.024368989286035703,-0.18051310455056135,-0.2328641806973774,-0.4700562557686208,-0.04089774961155634,0.4329896907216495,10.0,10.0,400,,830,10.0,10,10
ml106_market_bias_20d_low,ml_feature_single,market_bias_20d,price_technical,low,-1,0.8490103270223752,2.917432642029564e-17,ok,0.09,-0.007382988729009665,0.022051275735841022,0.6588200112580594,-0.024368989286035703,-0.18051310455056135,-0.2328641806973774,-0.4700562557686208,-0.04089774961155634,0.4329896907216495,10.0,10.0,400,,830,10.0,10,10
ml106_stock_vs_market_high,ml_feature_single,stock_vs_market,other,high,1,0.8490103270223752,0.2327445139871158,ok,0.083,-0.030122590969435814,0.022727210966439274,1.1829243142106851,-0.09681365510317841,-0.2696602716318982,-0.31471923998086054,-0.562274868052442,-0.11170156349511658,0.3963730569948187,10.0,10.0,402,,830,10.0,10,10
ml106_stock_vs_market_low,ml_feature_single,stock_vs_market,other,low,-1,0.8490103270223752,0.2327445139871158,ok,0.09,-0.09798980830478676,-0.056303111128919565,0.9330632445567878,-0.2906039728906704,-0.3093431835279161,-1.1579809147343785,-1.7253387657837798,-0.3167570709546105,0.35218508997429304,10.0,10.0,408,,830,10.0,10,10
ml106_linear_factor_high,ml_feature_single,linear_factor,price_technical,high,1,0.8490103270223752,0.2888164075490153,ok,0.09,0.1855357357240095,0.17890804365908894,-0.14834602597392313,0.7622950203600678,-0.17396684163742504,1.1061957119556522,2.673590697637504,1.0664392684554744,0.4461942257217848,10.0,10.0,409,,830,10.0,10,10
ml106_linear_factor_low,ml_feature_single,linear_factor,price_technical,low,-1,0.8490103270223752,0.2888164075490153,ok,0.083,0.14261961904960518,0.22374813465752974,1.8158799119981222,0.5587188944683521,-0.08240294539746962,0.892946162803974,2.1497626951372575,1.7305487428190394,0.48429319371727747,10.0,10.0,407,,830,10.0,10,10
ml106_rsi5_dulling_high,ml_feature_single,rsi5_dulling,price_technical,high,1,0.8490103270223752,0.14827629365426026,ok,0.09,0.20600276746850787,0.2908458043334051,1.8990211414743852,0.8656360941742214,-0.2742616335979161,0.88805152574192,2.0156700143158317,0.7510903142484986,0.4794871794871795,10.0,10.0,409,,830,10.0,10,10
ml106_rsi5_dulling_low,ml_feature_single,rsi5_dulling,price_technical,low,-1,0.8490103270223752,0.14827629365426026,ok,0.083,-0.023340873504284154,0.0058113413387584426,0.6525069628978137,-0.07561654095483694,-0.2010991492055264,-0.4229831639117123,-0.8240435656921999,-0.11606072422110746,0.4160206718346253,10.0,10.0,404,,830,10.0,10,10
ml106_keltner_position_high,ml_feature_single,keltner_position,price_technical,high,1,0.8490103270223752,0.2886748437097844,ok,0.076,0.11077284943784549,0.2045031296123817,2.0979421555972717,0.41872039876416234,-0.3275652444706746,0.4767437433982697,1.0267366911120388,0.3381600145543421,0.4252577319587629,10.0,10.0,410,,830,10.0,10,10
