id,kind,feature_id,feature_group,direction_mode,direction,coverage,avg_rank_std,status,elapsed_s,cagr,benchmark_alpha,benchmark_beta,total_return,max_drawdown,monthly_sharpe,monthly_sortino,calmar,win_ratio,avg_n_stock,max_n_stock,trade_count,avg_turnover_proxy,match_days,avg_daily_matches,max_daily_matches,latest_matches,selection_note
ml106_return_1d_high,ml_feature_single,return_1d,price_technical,high,1,0.8490103270223752,0.288813127282693,ok,5.352,0.2124090819322133,0.3019299195214415,2.003723221920353,0.8988343285902873,-0.2568702205599628,0.8281103637579877,1.850319978461406,0.8268798643554235,0.41494845360824745,10.0,10.0,410,,830,10.0,10,10,best_of_high_low_in_sample_research_only
ml106_institutional_net_high,ml_feature_single,institutional_net,chip_margin_flow,high,1,0.8490103270223752,0.28881627973876844,ok,0.083,0.19221564028716132,0.30949006275695323,2.6249249891769866,0.7955705657360483,-0.2974005564647485,0.8028180421474613,1.8944226136825084,0.6462973021939262,0.4230769230769231,10.0,10.0,410,,830,10.0,10,10,best_of_high_low_in_sample_research_only
ml106_RESI_20_low,ml_feature_single,RESI_20,price_technical,low,-1,0.8490103270223752,0.2888164135987653,ok,0.07,0.25301447215390827,0.333280873194745,1.796583410484628,1.1189368145652145,-0.41053889877605876,0.7535916703983633,2.1733969805819995,0.6162834023138363,0.49226804123711343,10.0,10.0,410,,830,10.0,10,10,best_of_high_low_in_sample_research_only
ml106_bb_position_high,ml_feature_single,bb_position,price_technical,high,1,0.8490103270223752,0.2888164250896485,ok,0.076,0.14837405278389437,0.20898505497761644,1.3566413794819048,0.585006891791886,-0.2757609317919303,0.7122178279157613,1.5047468264232398,0.5380336927455533,0.42930591259640105,10.0,10.0,410,,830,10.0,10,10,best_of_high_low_in_sample_research_only
ml106_RESI_10_low,ml_feature_single,RESI_10,price_technical,low,-1,0.8490103270223752,0.2888164291655378,ok,0.076,0.20162945335112448,0.31863222390186563,2.6188446700787846,0.8432077296913427,-0.34016361966459974,0.6961414421710056,1.6820826610826636,0.5927251312136568,0.4536082474226804,10.0,10.0,410,,830,10.0,10,10,best_of_high_low_in_sample_research_only
ml106_RSQR_60_high,ml_feature_single,RSQR_60,price_technical,high,1,0.8490103270223752,0.28881634438438203,ok,0.076,0.14461410526109963,0.29944334180948073,3.465505295289151,0.5677954937900196,-0.19051598577570117,0.6591787619746001,1.2319488851877813,0.7590256241022586,0.4536082474226804,10.0,10.0,410,,830,10.0,10,10,best_of_high_low_in_sample_research_only
ml106_vwap_bias_low,ml_feature_single,vwap_bias,price_technical,low,-1,0.8490103270223752,0.28875610882691083,ok,0.083,0.18588449688107245,0.27861087894989334,2.075472147484822,0.7640215904397363,-0.4514600864499013,0.6548278124557457,1.4860235652965734,0.4117315907743971,0.44587628865979384,10.0,10.0,410,,830,10.0,10,10,best_of_high_low_in_sample_research_only
ml106_IMXD_20_low,ml_feature_single,IMXD_20,price_technical,low,-1,0.8490103270223752,0.28820545850843443,ok,0.078,0.1498800760766914,0.23837376185629072,1.9807327317862506,0.5919377339517047,-0.28000730545254804,0.617580100269255,1.3891033996882602,0.5352529045819642,0.4601542416452442,10.0,10.0,410,,830,10.0,10,10,best_of_high_low_in_sample_research_only
ml106_RESI_60_low,ml_feature_single,RESI_60,price_technical,low,-1,0.8490103270223752,0.28874866473237487,ok,0.076,0.1933559867768435,0.35543374808803546,3.6277472691472683,0.8012947230232492,-0.44101993371492076,0.6161394741084503,1.6429768381876262,0.43841919106975563,0.45618556701030927,10.0,10.0,410,,830,10.0,10,10,best_of_high_low_in_sample_research_only
ml106_KLEN_high,ml_feature_single,KLEN,price_technical,high,1,0.8490103270223752,0.28870424444238746,ok,0.078,0.1705486514243293,0.330450117566503,3.5790357815724554,0.6892115267517016,-0.38736495329600396,0.6068693319881608,1.3940116616129616,0.4402676269418181,0.42930591259640105,10.0,10.0,410,,830,10.0,10,10,best_of_high_low_in_sample_research_only
